#    AoA      Mach     CL     CD 
-0.03490659 0.05000000 -0.20927000 0.00167760
0.00000000 0.05000000 0.00636000 0.00000170
0.03490659 0.05000000 0.22193000 0.00188250
0.08726646 0.05000000 0.54380000 0.01130230
0.12217305 0.05000000 0.75647000 0.02186360
0.17453293 0.05000000 1.07109000 0.04379620
-0.03490659 0.15000000 -0.21055000 0.00168860
0.00000000 0.15000000 0.00640000 0.00000170
0.03490659 0.15000000 0.22330000 0.00189540
0.08726646 0.15000000 0.54717000 0.01138140
0.12217305 0.15000000 0.76117000 0.02201930
0.17453293 0.15000000 1.07779000 0.04411630
-0.03490659 0.25000000 -0.21321000 0.00173440
0.00000000 0.25000000 0.00648000 0.00000170
0.03490659 0.25000000 0.22609000 0.00194600
0.08726646 0.25000000 0.55393000 0.01167920
0.12217305 0.25000000 0.77051000 0.02258820
0.17453293 0.25000000 1.09083000 0.04523400
-0.03490659 0.45000000 -0.22351000 0.00189390
0.00000000 0.45000000 0.00681000 0.00000190
0.03490659 0.45000000 0.23704000 0.00212620
0.08726646 0.45000000 0.58072000 0.01276030
0.12217305 0.45000000 0.80772000 0.02467990
0.17453293 0.45000000 1.14333000 0.04942640
-0.03490659 0.65000000 -0.24426000 0.00223480
0.00000000 0.65000000 0.00746000 0.00000220
0.03490659 0.65000000 0.25908000 0.00251040
0.08726646 0.65000000 0.63455000 0.01506020
0.12217305 0.65000000 0.88241000 0.02912360
0.17453293 0.65000000 1.24859000 0.05831420
-0.03490659 0.85000000 -0.29042000 0.00310290
0.00000000 0.85000000 0.00893000 0.00000310
0.03490659 0.85000000 0.30811000 0.00348960
0.08726646 0.85000000 0.75426000 0.02092150
0.12217305 0.85000000 1.04844000 0.04044970
0.17453293 0.85000000 1.48229000 0.08097060
