Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  72.7 m2 
  MAIN WING SWEEP ...............  23.0 deg
  MAIN WING THICKNESS RATIO .....  0.11    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00039 | 0.00107 | 0.00275 | 0.00669 | 0.01545 | 0.03409 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00048 | 0.00130 | 0.00336 | 0.00815 | 0.01882 | 0.04154 | 
 0.400 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00019 | 0.00058 | 0.00158 | 0.00407 | 0.00989 | 0.02284 | 0.05040 | 
 0.450 |  0.00000 | 0.00001 | 0.00002 | 0.00007 | 0.00023 | 0.00070 | 0.00191 | 0.00491 | 0.01193 | 0.02755 | 0.06080 | 
 0.500 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00028 | 0.00083 | 0.00229 | 0.00588 | 0.01429 | 0.03299 | 0.07281 | 
 0.550 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00033 | 0.00099 | 0.00271 | 0.00698 | 0.01697 | 0.03918 | 0.08646 | 
 0.600 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00039 | 0.00116 | 0.00319 | 0.00822 | 0.01996 | 0.04609 | 0.10171 | 
 0.650 |  0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00046 | 0.00135 | 0.00372 | 0.00957 | 0.02324 | 0.05367 | 0.11844 | 
 0.700 |  0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00053 | 0.00156 | 0.00428 | 0.01102 | 0.02677 | 0.06181 | 0.13641 | 
 0.750 |  0.00000 | 0.00001 | 0.00005 | 0.00019 | 0.00060 | 0.00178 | 0.00488 | 0.01255 | 0.03048 | 0.07038 | 0.15531 | 
 0.800 |  0.00000 | 0.00001 | 0.00006 | 0.00021 | 0.00067 | 0.00200 | 0.00549 | 0.01411 | 0.03428 | 0.07916 | 0.17470 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
