Output file with engine data 

  VEHICLE TAG : base


 DELTA ISA:   0 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |         2        50       100       150       200       250       300       350       400       450 |        2     50    100    150    200    250    300    350    400    450 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   14358.4   13293.5   12164.3   11391.3   10854.5   10433.0   10112.9    9880.7    9723.5    9627.8 |    0.358  0.387  0.421  0.453  0.483  0.514  0.545  0.574  0.604  0.633 |
   5000 |   12258.0   11356.9   10402.4    9772.8    9334.4    8997.8    8751.2    8582.9    8482.5    8438.6 |    0.365  0.393  0.428  0.459  0.490  0.520  0.550  0.579  0.607  0.635 |
  10000 |   10383.9    9625.8    8823.5    8315.1    7960.0    7694.0    7507.0    7389.3    7332.3    7326.4 |    0.372  0.401  0.435  0.467  0.497  0.527  0.557  0.585  0.612  0.639 |
  15000 |    8726.4    8092.5    7422.3    7015.8    6730.6    6522.8    6383.9    6305.8    6281.4    6302.6 |    0.380  0.409  0.444  0.476  0.506  0.536  0.565  0.593  0.619  0.645 |
  20000 |    7272.6    6746.3    6190.1    5868.7    5641.9    5481.8    5381.3    5333.7    5333.0    5372.8 |    0.388  0.418  0.453  0.485  0.515  0.545  0.574  0.601  0.628  0.653 |
  25000 |    6008.2    5574.4    5116.2    4865.1    4686.8    4565.5    4495.3    4470.7    4486.8    4538.4 |    0.397  0.427  0.464  0.495  0.526  0.556  0.584  0.612  0.637  0.662 |
  30000 |    4917.8    4563.0    4188.5    3995.3    3856.7    3766.7    3720.0    3712.5    3739.9    3797.9 |    0.406  0.437  0.474  0.506  0.537  0.567  0.596  0.623  0.648  0.673 |
  35000 |    3985.7    3698.1    3399.6    3248.2    3142.2    3077.0    3048.3    3052.8    3087.1    3147.7 |    0.416  0.448  0.486  0.518  0.549  0.579  0.608  0.635  0.660  0.685 |
  40000 |    3153.6    2926.0    2690.9    2571.9    2489.2    2439.0    2418.1    2423.7    2453.1    2503.6 |    0.419  0.451  0.488  0.521  0.552  0.582  0.611  0.638  0.663  0.688 |
  45000 |    2482.3    2303.2    2118.1    2024.5    1959.4    1919.9    1903.4    1907.8    1930.9    1970.7 |    0.419  0.451  0.488  0.521  0.552  0.582  0.611  0.638  0.663  0.688 |
  50000 |    1954.2    1813.1    1667.4    1593.7    1542.5    1511.4    1498.4    1501.9    1520.1    1551.4 |    0.419  0.451  0.488  0.521  0.552  0.582  0.611  0.638  0.663  0.688 |

 DELTA ISA:  10 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |         2        50       100       150       200       250       300       350       400       450 |        2     50    100    150    200    250    300    350    400    450 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   13731.9   12701.9   11607.9   10832.7   10295.2    9864.5    9527.1    9269.7    9079.8    8943.6 |    0.359  0.387  0.422  0.455  0.487  0.518  0.550  0.582  0.614  0.645 |
   5000 |   11735.3   10864.9    9941.9    9309.8    8870.8    8526.2    8264.3    8074.2    7945.5    7866.8 |    0.365  0.393  0.428  0.461  0.492  0.523  0.554  0.585  0.615  0.645 |
  10000 |    9946.7    9215.4    8440.9    7929.7    7573.8    7300.5    7100.1    6963.4    6881.6    6845.7 |    0.372  0.401  0.435  0.468  0.499  0.530  0.560  0.590  0.618  0.647 |
  15000 |    8360.9    7750.5    7104.4    6694.9    6408.8    6194.4    6043.7    5948.7    5902.6    5897.6 |    0.379  0.408  0.444  0.476  0.507  0.537  0.567  0.596  0.624  0.651 |
  20000 |    6967.9    6461.7    5926.5    5601.8    5373.9    5207.9    5096.8    5034.3    5014.5    5031.2 |    0.387  0.417  0.453  0.485  0.516  0.546  0.576  0.604  0.632  0.658 |
  25000 |    5754.9    5338.4    4898.2    4643.7    4464.2    4337.4    4257.7    4219.9    4219.1    4250.4 |    0.396  0.426  0.463  0.495  0.526  0.556  0.586  0.614  0.641  0.666 |
  30000 |    4708.1    4368.1    4009.0    3812.2    3672.3    3577.2    3522.0    3502.7    3515.1    3555.3 |    0.406  0.436  0.473  0.506  0.537  0.568  0.597  0.625  0.651  0.676 |
  35000 |    3812.8    3537.8    3247.4    3097.4    2990.0    2920.0    2883.8    2877.8    2898.9    2943.7 |    0.416  0.447  0.485  0.517  0.549  0.580  0.609  0.637  0.663  0.688 |
  40000 |    3016.2    2798.6    2569.4    2452.0    2368.1    2314.1    2287.0    2284.1    2302.8    2340.6 |    0.418  0.450  0.488  0.520  0.552  0.583  0.612  0.640  0.666  0.691 |
  45000 |    2374.2    2202.9    2022.5    1930.1    1864.0    1821.6    1800.2    1797.9    1812.7    1842.4 |    0.418  0.450  0.488  0.520  0.552  0.583  0.612  0.640  0.666  0.691 |
  50000 |    1869.0    1734.2    1592.2    1519.5    1467.4    1434.0    1417.2    1415.4    1427.0    1450.4 |    0.418  0.450  0.488  0.520  0.552  0.583  0.612  0.640  0.666  0.691 |


--------------------------------------------------
 Tuesday, 17. July 2018 09:44:23 PM
