Altitude:    0 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
588.64     0.1615    114099.8585    9.5228    8.7306    0.0156    0.0018    1.8223    0.1914    0.1597 
624.49     0.1480    113763.7135    9.5228    8.7974    0.0140    0.0018    1.8223    0.1914    0.1462 
662.01     0.1357    113438.7571    9.5228    8.8551    0.0127    0.0018    1.8223    0.1914    0.1340 
702.06     0.1245    113117.6224    9.5228    8.9062    0.0115    0.0018    1.8223    0.1914    0.1228 
743.38     0.1143    112809.7785    9.5228    8.9504    0.0105    0.0018    1.8223    0.1914    0.1127 
787.53     0.1048    112503.2974    9.5228    8.9902    0.0096    0.0018    1.8223    0.1914    0.1033 
833.18     0.0962    112207.4429    9.5228    9.0250    0.0088    0.0018    1.8223    0.1914    0.0948 
903.16     0.0848    111788.9478    9.5228    9.0690    0.0078    0.0018    1.8223    0.1914    0.0835 
985.59     0.0740    111341.0127    9.5228    9.1089    0.0069    0.0018    1.8223    0.1914    0.0727 
1040.46     0.0678    111065.4126    9.5228    9.1306    0.0065    0.0018    1.8223    0.1914    0.0666 
1098.98     0.0619    110788.4816    9.5228    9.1508    0.0060    0.0018    1.8223    0.1914    0.0608 
1222.42     0.0512    110253.0482    9.5228    9.1854    0.0053    0.0018    1.8223    0.1914    0.0502 
1357.46     0.0417    109729.1398    9.5228    9.2144    0.0046    0.0018    1.8223    0.1914    0.0409 
1502.48     0.0333    109223.6439    9.5228    9.2386    0.0041    0.0018    1.8223    0.1914    0.0326 
1625.49     0.0273    108832.5962    9.5228    9.2552    0.0038    0.0018    1.8223    0.1914    0.0267 
1626.43     0.0272    108829.7320    9.5228    9.2553    0.0038    0.0018    1.8223    0.1914    0.0266 
1123.39     0.0596    110677.6164    9.5228    9.1584    0.0059    0.0018    1.8223    0.1914    0.0585 

Altitude: 2000 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
761.58     0.1100    105850.1495    9.5228    8.9690    0.0101    0.0018    1.8223    0.1914    0.1084 
809.31     0.1003    105549.8725    9.5228    9.0087    0.0092    0.0018    1.8223    0.1914    0.0988 
832.27     0.0961    105412.8691    9.5228    9.0256    0.0088    0.0018    1.8223    0.1914    0.0946 
862.29     0.0910    105240.3196    9.5228    9.0456    0.0083    0.0018    1.8223    0.1914    0.0896 
912.98     0.0832    104964.0993    9.5228    9.0752    0.0077    0.0018    1.8223    0.1914    0.0819 
941.27     0.0794    104817.4206    9.5228    9.0894    0.0074    0.0018    1.8223    0.1914    0.0781 
968.48     0.0759    104680.9833    9.5228    9.1020    0.0071    0.0018    1.8223    0.1914    0.0746 
996.94     0.0725    104542.8067    9.5228    9.1142    0.0068    0.0018    1.8223    0.1914    0.0712 
1026.69     0.0691    104402.9358    9.5228    9.1260    0.0066    0.0018    1.8223    0.1914    0.0679 
1066.16     0.0649    104224.0777    9.5228    9.1403    0.0063    0.0018    1.8223    0.1914    0.0638 
1112.15     0.0605    104024.5114    9.5228    9.1554    0.0059    0.0018    1.8223    0.1914    0.0594 
1151.44     0.0569    103860.9965    9.5228    9.1671    0.0057    0.0018    1.8223    0.1914    0.0559 
1191.80     0.0535    103699.0951    9.5228    9.1780    0.0054    0.0018    1.8223    0.1914    0.0525 
1234.70     0.0501    103533.2579    9.5228    9.1887    0.0052    0.0018    1.8223    0.1914    0.0492 
1289.25     0.0461    103330.9584    9.5228    9.2010    0.0049    0.0018    1.8223    0.1914    0.0452 
1332.53     0.0432    103176.7622    9.5228    9.2099    0.0047    0.0018    1.8223    0.1914    0.0423 
1369.04     0.0409    103050.6540    9.5228    9.2169    0.0046    0.0018    1.8223    0.1914    0.0400 
1407.11     0.0385    102922.8059    9.5228    9.2237    0.0044    0.0018    1.8223    0.1914    0.0377 
1458.31     0.0356    102756.4164    9.5228    9.2321    0.0043    0.0018    1.8223    0.1914    0.0348 
1518.55     0.0324    102568.1639    9.5228    9.2412    0.0041    0.0018    1.8223    0.1914    0.0317 
1562.34     0.0302    102436.0150    9.5228    9.2473    0.0039    0.0018    1.8223    0.1914    0.0295 
1582.41     0.0292    102376.7360    9.5228    9.2500    0.0039    0.0018    1.8223    0.1914    0.0285 
1607.98     0.0280    102302.2702    9.5228    9.2533    0.0038    0.0018    1.8223    0.1914    0.0274 
1632.97     0.0268    102230.6621    9.5228    9.2563    0.0038    0.0018    1.8223    0.1914    0.0262 
1653.72     0.0259    102172.0519    9.5228    9.2588    0.0037    0.0018    1.8223    0.1914    0.0253 
1683.83     0.0246    102088.2869    9.5228    9.2623    0.0036    0.0018    1.8223    0.1914    0.0240 
2090.75     0.0425    100122.3847    11.7394    11.3714    0.0023    0.0018    1.4794    0.1260    0.0413 
2105.30     0.0420    100088.5972    11.7394    11.3728    0.0023    0.0018    1.4794    0.1260    0.0408 
2132.18     0.0412    100026.7981    11.7394    11.3755    0.0023    0.0018    1.4794    0.1260    0.0400 
2156.85     0.0404    99970.7782    11.7394    11.3779    0.0022    0.0018    1.4794    0.1260    0.0393 
2182.98     0.0396    99912.1211    11.7394    11.3803    0.0022    0.0018    1.4794    0.1260    0.0385 
2206.82     0.0389    99859.1937    11.7394    11.3825    0.0022    0.0018    1.4794    0.1260    0.0378 
2232.13     0.0382    99803.6265    11.7394    11.3847    0.0022    0.0018    1.4794    0.1260    0.0371 
2253.82     0.0376    99756.5111    11.7394    11.3866    0.0021    0.0018    1.4794    0.1260    0.0365 
2273.09     0.0370    99715.0271    11.7394    11.3883    0.0021    0.0018    1.4794    0.1260    0.0359 

Altitude: 6000 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
800.57     0.1012    92855.6957    9.5228    9.0049    0.0092    0.0018    1.8223    0.1914    0.0997 
815.14     0.0985    92778.4572    9.5228    9.0160    0.0090    0.0018    1.8223    0.1914    0.0970 
833.52     0.0952    92683.3265    9.5228    9.0292    0.0087    0.0018    1.8223    0.1914    0.0937 
855.92     0.0913    92570.6972    9.5228    9.0442    0.0084    0.0018    1.8223    0.1914    0.0899 
887.61     0.0864    92417.0358    9.5228    9.0632    0.0079    0.0018    1.8223    0.1914    0.0850 
918.32     0.0820    92274.0381    9.5228    9.0797    0.0076    0.0018    1.8223    0.1914    0.0806 
946.57     0.0782    92147.2307    9.5228    9.0936    0.0073    0.0018    1.8223    0.1914    0.0769 
970.07     0.0753    92044.8933    9.5228    9.1043    0.0070    0.0018    1.8223    0.1914    0.0740 
998.90     0.0718    91923.1013    9.5228    9.1165    0.0068    0.0018    1.8223    0.1914    0.0706 
1031.26     0.0682    91790.9443    9.5228    9.1292    0.0065    0.0018    1.8223    0.1914    0.0670 
1062.26     0.0649    91668.5409    9.5228    9.1404    0.0063    0.0018    1.8223    0.1914    0.0638 
1085.07     0.0627    91580.9598    9.5228    9.1481    0.0061    0.0018    1.8223    0.1914    0.0615 
1127.24     0.0587    91424.1201    9.5228    9.1613    0.0058    0.0018    1.8223    0.1914    0.0576 
1169.11     0.0550    91274.5068    9.5228    9.1732    0.0055    0.0018    1.8223    0.1914    0.0540 
1200.91     0.0524    91164.6806    9.5228    9.1815    0.0054    0.0018    1.8223    0.1914    0.0514 
1239.94     0.0494    91033.9800    9.5228    9.1910    0.0052    0.0018    1.8223    0.1914    0.0484 
1269.02     0.0472    90939.4104    9.5228    9.1977    0.0050    0.0018    1.8223    0.1914    0.0463 
1308.03     0.0445    90816.0363    9.5228    9.2060    0.0048    0.0018    1.8223    0.1914    0.0436 
1347.08     0.0419    90696.3292    9.5228    9.2137    0.0047    0.0018    1.8223    0.1914    0.0411 
1400.53     0.0386    90538.1941    9.5228    9.2234    0.0045    0.0018    1.8223    0.1914    0.0378 
1434.29     0.0366    90441.4962    9.5228    9.2291    0.0043    0.0018    1.8223    0.1914    0.0359 
1479.96     0.0341    90314.3737    9.5228    9.2364    0.0042    0.0018    1.8223    0.1914    0.0334 
1524.78     0.0318    90193.4204    9.5228    9.2429    0.0040    0.0018    1.8223    0.1914    0.0311 
1563.74     0.0298    90091.2201    9.5228    9.2483    0.0039    0.0018    1.8223    0.1914    0.0291 
1587.48     0.0287    90030.2201    9.5228    9.2514    0.0039    0.0018    1.8223    0.1914    0.0280 
1602.45     0.0280    89992.2153    9.5228    9.2533    0.0038    0.0018    1.8223    0.1914    0.0273 
1617.53     0.0273    89954.3023    9.5228    9.2552    0.0038    0.0018    1.8223    0.1914    0.0266 
1619.55     0.0272    89949.2541    9.5228    9.2554    0.0038    0.0018    1.8223    0.1914    0.0266 
1636.78     0.0264    89906.4098    9.5228    9.2575    0.0037    0.0018    1.8223    0.1914    0.0258 
1651.08     0.0258    89871.2132    9.5228    9.2592    0.0037    0.0018    1.8223    0.1914    0.0252 
1670.64     0.0249    89823.5712    9.5228    9.2615    0.0036    0.0018    1.8223    0.1914    0.0243 
2088.33     0.0423    88083.1414    11.7394    11.3718    0.0023    0.0018    1.4794    0.1260    0.0411 
2113.07     0.0415    88033.1623    11.7394    11.3743    0.0023    0.0018    1.4794    0.1260    0.0404 
2138.02     0.0408    87983.3231    11.7394    11.3767    0.0023    0.0018    1.4794    0.1260    0.0396 
2160.39     0.0401    87939.1382    11.7394    11.3788    0.0022    0.0018    1.4794    0.1260    0.0389 
2184.35     0.0394    87892.3108    11.7394    11.3811    0.0022    0.0018    1.4794    0.1260    0.0382 
2219.94     0.0383    87823.6682    11.7394    11.3843    0.0022    0.0018    1.4794    0.1260    0.0372 
2258.88     0.0372    87749.8267    11.7394    11.3877    0.0021    0.0018    1.4794    0.1260    0.0361 
2282.20     0.0366    87706.2106    11.7394    11.3896    0.0021    0.0018    1.4794    0.1260    0.0355 
2298.33     0.0361    87676.2852    11.7394    11.3909    0.0021    0.0018    1.4794    0.1260    0.0350 
2341.28     0.0350    87597.6261    11.7394    11.3944    0.0021    0.0018    1.4794    0.1260    0.0339 
2396.96     0.0335    87497.7572    11.7394    11.3987    0.0020    0.0018    1.4794    0.1260    0.0325 
2435.15     0.0326    87430.5845    11.7394    11.4015    0.0020    0.0018    1.4794    0.1260    0.0316 
2481.58     0.0315    87350.2988    11.7394    11.4047    0.0019    0.0018    1.4794    0.1260    0.0305 
2550.88     0.0298    87233.1718    11.7394    11.4094    0.0019    0.0018    1.4794    0.1260    0.0289 
2582.86     0.0291    87180.1748    11.7394    11.4114    0.0019    0.0018    1.4794    0.1260    0.0282 
2621.64     0.0283    87116.7758    11.7394    11.4139    0.0018    0.0018    1.4794    0.1260    0.0274 
2706.65     0.0265    86996.7533    11.7394    11.4189    0.0018    0.0018    1.4794    0.1260    0.0256 

Altitude: 8000 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
820.21     0.0971    86815.6059    9.5228    9.0214    0.0089    0.0018    1.8223    0.1914    0.0956 
842.49     0.0932    86709.1974    9.5228    9.0369    0.0085    0.0018    1.8223    0.1914    0.0917 
878.52     0.0874    86543.8619    9.5228    9.0592    0.0080    0.0018    1.8223    0.1914    0.0860 
943.75     0.0783    86263.4430    9.5228    9.0932    0.0073    0.0018    1.8223    0.1914    0.0770 
1012.87     0.0700    85989.1842    9.5228    9.1230    0.0066    0.0018    1.8223    0.1914    0.0687 
1085.99     0.0623    85720.6895    9.5228    9.1492    0.0061    0.0018    1.8223    0.1914    0.0612 
1155.72     0.0559    85482.3043    9.5228    9.1702    0.0056    0.0018    1.8223    0.1914    0.0549 
1244.66     0.0488    85199.6054    9.5228    9.1928    0.0051    0.0018    1.8223    0.1914    0.0478 
1330.45     0.0428    84946.4061    9.5228    9.2111    0.0047    0.0018    1.8223    0.1914    0.0419 
1420.71     0.0372    84697.7423    9.5228    9.2275    0.0044    0.0018    1.8223    0.1914    0.0364 
