Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |  FUEL  |            SPEED              |
                                | From  |   To  |Initial | Final  |         |       |        |Inicial| Final |Inicial| Final |
                                |   ft  |   ft  |   kg   |   kg   |    nm   |  min  |   kg   | KCAS  | KCAS  |  Mach |  Mach |
                                |       |       |        |        |         |       |        |       |       |       |       |
climb_1                         |      0|  10000|   37200|   37023|       11|    2.5|     177|  268.3|  232.1|  0.406|  0.420|
climb_2                         |  10000|  11998|   37023|   36986|        3|    0.6|      36|  283.4|  275.1|  0.512|  0.515|
climb_3                         |  11998|  25000|   36986|   36700|       36|    5.5|     286|  328.9|  268.6|  0.614|  0.646|
climb_4                         |  25000|  32000|   36700|   36411|       54|    7.2|     289|  311.8|  277.3|  0.743|  0.765|
climb_5                         |  32000|  35000|   36411|   36152|       56|    7.5|     258|  277.3|  263.1|  0.765|  0.775|
cruise                          |  35000|  35000|   36152|   31876|     1087|  144.9|    4277|  265.0|  265.0|  0.780|  0.780|
descent_1                       |  35000|  30545|   31876|   31865|       13|    1.7|      10|  258.5|  279.4|  0.763|  0.748|
descent_2                       |  30545|  11998|   31865|   31801|       49|    8.1|      64|  228.6|  308.3|  0.621|  0.576|
descent_3                       |  11998|     -0|   31801|   31785|       33|    8.0|      16|  209.6|  250.0|  0.395|  0.378|
reserve_climb                   |      0|  15000|   31785|   31533|       21|    4.8|     252|  268.3|  214.9|  0.406|  0.428|
reserve_cruise                  |  15000|  15000|   31533|   30960|      140|   26.8|     573|  251.8|  251.8|  0.500|  0.500|
reserve_loiter                  |  15000|  15000|   30960|   30326|      157|   30.0|     634|  251.8|  251.8|  0.500|  0.500|
reserve_descent_1               |  15000|     -0|   30326|   30092|       74|   25.4|     233|  149.8|  158.8|  0.300|  0.240|


 Total Range (nm) ...........      1732
 Total Fuel  (kg) ...........      7108
 Total Time  (hh:mm) ........     04:32


-------------------------------------------
 Thursday, 20. September 2018 05:54:29 PM
