Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  72.7 m2 
  MAIN WING SWEEP ...............  21.8 deg
  MAIN WING THICKNESS RATIO .....  0.11    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00043 | 0.00117 | 0.00302 | 0.00734 | 0.01696 | 0.03742 | 
 0.350 |  0.00000 | 0.00000 | 0.00002 | 0.00005 | 0.00018 | 0.00052 | 0.00143 | 0.00368 | 0.00895 | 0.02066 | 0.04560 | 
 0.400 |  0.00000 | 0.00000 | 0.00002 | 0.00007 | 0.00021 | 0.00063 | 0.00174 | 0.00447 | 0.01086 | 0.02507 | 0.05532 | 
 0.450 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00026 | 0.00076 | 0.00209 | 0.00539 | 0.01309 | 0.03023 | 0.06672 | 
 0.500 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00031 | 0.00091 | 0.00251 | 0.00645 | 0.01568 | 0.03620 | 0.07989 | 
 0.550 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00037 | 0.00108 | 0.00298 | 0.00766 | 0.01862 | 0.04299 | 0.09488 | 
 0.600 |  0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00043 | 0.00128 | 0.00351 | 0.00902 | 0.02191 | 0.05060 | 0.11167 | 
 0.650 |  0.00000 | 0.00001 | 0.00004 | 0.00016 | 0.00050 | 0.00149 | 0.00409 | 0.01051 | 0.02554 | 0.05896 | 0.13013 | 
 0.700 |  0.00000 | 0.00001 | 0.00005 | 0.00018 | 0.00058 | 0.00172 | 0.00471 | 0.01212 | 0.02944 | 0.06799 | 0.15005 | 
 0.750 |  0.00000 | 0.00001 | 0.00006 | 0.00020 | 0.00066 | 0.00196 | 0.00537 | 0.01382 | 0.03358 | 0.07753 | 0.17110 | 
 0.800 |  0.00000 | 0.00002 | 0.00006 | 0.00023 | 0.00075 | 0.00221 | 0.00606 | 0.01558 | 0.03784 | 0.08738 | 0.19285 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.700 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.750 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.800 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00038 | 0.00105 | 0.00269 | 0.00654 | 0.01510 | 0.03332 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00047 | 0.00130 | 0.00335 | 0.00814 | 0.01880 | 0.04150 | 
 0.400 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00020 | 0.00059 | 0.00161 | 0.00414 | 0.01005 | 0.02321 | 0.05122 | 
 0.450 |  0.00000 | 0.00001 | 0.00002 | 0.00007 | 0.00024 | 0.00072 | 0.00197 | 0.00506 | 0.01229 | 0.02837 | 0.06262 | 
 0.500 |  0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00029 | 0.00087 | 0.00238 | 0.00612 | 0.01487 | 0.03434 | 0.07579 | 
 0.550 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00035 | 0.00104 | 0.00285 | 0.00733 | 0.01781 | 0.04113 | 0.09078 | 
 0.600 |  0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00042 | 0.00123 | 0.00338 | 0.00869 | 0.02111 | 0.04874 | 0.10756 | 
 0.650 |  0.00000 | 0.00001 | 0.00004 | 0.00015 | 0.00049 | 0.00144 | 0.00396 | 0.01018 | 0.02473 | 0.05711 | 0.12603 | 
 0.700 |  0.00000 | 0.00001 | 0.00005 | 0.00017 | 0.00056 | 0.00167 | 0.00458 | 0.01179 | 0.02864 | 0.06613 | 0.14595 | 
 0.750 |  0.00000 | 0.00001 | 0.00006 | 0.00020 | 0.00065 | 0.00191 | 0.00524 | 0.01349 | 0.03277 | 0.07567 | 0.16700 | 
 0.800 |  0.00000 | 0.00002 | 0.00006 | 0.00023 | 0.00073 | 0.00216 | 0.00593 | 0.01525 | 0.03704 | 0.08552 | 0.18874 | 
-----------------------------------------------------------------------------------------------------------------------
 VERTICAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
