Output file with engine data 

  VEHICLE TAG : base


 DELTA ISA:   0 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |       100       122       144       167       189       211       233       256       278       300 |      100    122    144    167    189    211    233    256    278    300 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   11501.5   11100.8   10828.4   10581.5   10358.9   10159.1    9981.0    9823.2    9684.7    9564.4 |    0.427  0.443  0.457  0.471  0.485  0.499  0.513  0.526  0.540  0.553 |
   5000 |    9816.1    9493.5    9268.0    9064.9    8883.1    8721.3    8578.5    8453.7    8345.8    8254.1 |    0.435  0.451  0.465  0.479  0.493  0.506  0.520  0.534  0.547  0.560 |
  10000 |    8312.9    8056.1    7870.7    7704.8    7557.4    7427.6    7314.3    7216.7    7134.0    7065.5 |    0.444  0.459  0.473  0.487  0.501  0.515  0.529  0.542  0.555  0.568 |
  15000 |    6983.6    6781.6    6630.4    6496.1    6377.7    6274.5    6185.7    6110.5    6048.2    5998.3 |    0.454  0.469  0.483  0.497  0.511  0.524  0.538  0.551  0.565  0.578 |
  20000 |    5818.0    5661.4    5539.1    5431.3    5337.1    5256.1    5187.4    5130.4    5084.7    5049.5 |    0.464  0.479  0.493  0.507  0.521  0.535  0.548  0.562  0.575  0.588 |
  25000 |    4804.4    4685.0    4587.0    4501.3    4427.4    4364.5    4312.2    4270.0    4237.3    4213.8 |    0.474  0.489  0.504  0.518  0.532  0.546  0.560  0.573  0.586  0.599 |
  30000 |    3930.6    3841.2    3763.5    3696.2    3638.8    3590.9    3551.8    3521.3    3499.0    3484.5 |    0.486  0.501  0.515  0.530  0.544  0.558  0.572  0.585  0.598  0.611 |
  35000 |    3188.6    3118.5    3057.6    3005.4    2961.6    2925.6    2897.1    2875.9    2861.5    2853.7 |    0.498  0.513  0.527  0.542  0.557  0.571  0.585  0.598  0.611  0.624 |
  40000 |    2523.6    2468.4    2420.6    2379.8    2345.6    2317.6    2295.7    2279.6    2268.9    2263.5 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |
  45000 |    1986.4    1943.0    1905.4    1873.2    1846.3    1824.3    1807.1    1794.4    1786.0    1781.7 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |
  50000 |    1563.8    1529.6    1500.0    1474.7    1453.5    1436.2    1422.6    1412.6    1406.0    1402.6 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |

 DELTA ISA:  10 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |       100       122       144       167       189       211       233       256       278       300 |      100    122    144    167    189    211    233    256    278    300 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   11194.0   10781.1   10507.2   10257.7   10031.2    9826.2    9641.8    9476.5    9329.4    9199.3 |    0.420  0.436  0.450  0.464  0.478  0.492  0.506  0.520  0.534  0.548 |
   5000 |    9567.8    9234.3    9007.6    8802.2    8616.9    8450.6    8302.3    8171.0    8055.7    7955.5 |    0.427  0.443  0.457  0.471  0.485  0.499  0.512  0.526  0.540  0.553 |
  10000 |    8112.3    7845.6    7659.1    7491.2    7340.9    7207.1    7089.0    6985.8    6896.6    6820.7 |    0.435  0.451  0.465  0.479  0.492  0.506  0.520  0.534  0.547  0.560 |
  15000 |    6821.6    6610.8    6458.6    6322.4    6201.4    6094.8    6001.8    5921.6    5853.7    5797.4 |    0.444  0.459  0.473  0.487  0.501  0.515  0.528  0.542  0.555  0.568 |
  20000 |    5687.4    5522.8    5399.6    5290.1    5193.7    5109.6    5037.2    4975.9    4925.1    4884.4 |    0.453  0.469  0.483  0.497  0.511  0.524  0.538  0.551  0.565  0.578 |
  25000 |    4699.3    4572.7    4473.9    4386.7    4310.7    4245.2    4189.6    4143.6    4106.5    4078.1 |    0.464  0.479  0.493  0.507  0.521  0.535  0.548  0.562  0.575  0.588 |
  30000 |    3846.2    3750.5    3672.0    3603.4    3544.1    3493.8    3451.9    3418.0    3391.8    3373.0 |    0.474  0.489  0.504  0.518  0.532  0.546  0.560  0.573  0.586  0.599 |
  35000 |    3116.2    3045.3    2983.7    2930.3    2884.8    2846.7    2815.7    2791.5    2773.8    2762.2 |    0.486  0.500  0.515  0.529  0.544  0.558  0.572  0.585  0.598  0.611 |
  40000 |    2465.9    2410.5    2362.1    2320.3    2284.7    2255.1    2231.2    2212.6    2199.2    2190.8 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |
  45000 |    1941.0    1897.4    1859.3    1826.4    1798.4    1775.1    1756.3    1741.7    1731.1    1724.4 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |
  50000 |    1528.0    1493.7    1463.7    1437.8    1415.8    1397.4    1382.6    1371.1    1362.8    1357.5 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |


--------------------------------------------------
 Thursday, 20. September 2018 02:09:44 PM
