Output file with engine data 

  VEHICLE TAG : base


 DELTA ISA:   0 degC

        |                                         SPEED [m/s]                                                |                            SPEED [m/s]                                 
        |         1        25        50        75       100       125       150       175       200       225 |        1     25     50     75    100    125    150    175    200    225 
 HP[m] |                                         THRUST [N]                                                |                               SFC * 10^6 [kg/Ns]                                 |
      0 |   63843.7   59238.2   54346.8   50829.2   48425.3   46504.9   45008.6   43879.6   43063.1   42501.5 |    9.873 10.625 11.531 12.408 13.233 14.060 14.884 15.700 16.508 17.313 |
   1500 |   54695.5   50787.8   46642.8   43762.5   41791.6   40249.0   39084.2   38249.1   37698.2   37383.8 |   10.059 10.817 11.727 12.595 13.413 14.228 15.033 15.824 16.599 17.363 |
   3000 |   46498.8   43201.8   39708.1   37368.7   35764.5   34536.7   33642.6   33041.3   32695.4   32565.1 |   10.262 11.030 11.948 12.810 13.626 14.433 15.225 15.997 16.747 17.480 |
   4500 |   39220.4   36455.6   33528.2   31645.4   30350.2   29383.2   28708.6   28291.4   28101.3   28105.2 |   10.483 11.261 12.192 13.050 13.867 14.671 15.454 16.213 16.944 17.654 |
   6000 |   32812.4   30509.0   28071.9   26571.7   25535.5   24783.3   24284.9   24011.4   23937.5   24036.0 |   10.719 11.511 12.457 13.315 14.135 14.939 15.717 16.466 17.184 17.876 |
   7500 |   27217.8   25312.4   23297.6   22115.9   21295.4   20718.8   20360.6   20197.2   20207.7   20369.7 |   10.970 11.779 12.742 13.602 14.429 15.234 16.010 16.753 17.461 18.140 |
   9000 |   22374.6   20810.4   19157.3   18238.5   17596.2   17161.8   16913.9   16833.3   16902.7   17104.0 |   11.236 12.063 13.047 13.911 14.746 15.556 16.332 17.071 17.772 18.443 |
  10500 |   18217.7   16944.4   15599.1   14895.2   14399.2   14078.7   13916.2   13896.1   14004.3   14226.2 |   11.518 12.365 13.373 14.241 15.087 15.903 16.681 17.419 18.116 18.780 |
  12000 |   14509.3   13495.0   12423.5   11875.3   11487.9   11242.1   11123.8   11120.8   11221.8   11415.0 |   11.619 12.474 13.490 14.361 15.210 16.028 16.808 17.545 18.242 18.904 |
  13500 |   11463.9   10662.5    9815.9    9382.8    9076.6    8882.4    8789.0    8786.6    8866.4    9019.1 |   11.619 12.474 13.490 14.361 15.210 16.028 16.808 17.545 18.242 18.904 |
  15000 |    9058.7    8425.4    7756.5    7414.2    7172.3    7018.8    6945.0    6943.1    7006.2    7126.8 |   11.619 12.474 13.490 14.361 15.210 16.028 16.808 17.545 18.242 18.904 |

 DELTA ISA:  10 degC

        |                                         SPEED [m/s]                                                |                            SPEED [m/s]                                 
        |         1        25        50        75       100       125       150       175       200       225 |        1     25     50     75    100    125    150    175    200    225 
 HP[m] |                                         THRUST [N]                                                |                               SFC * 10^6 [kg/Ns]                                 |
      0 |   60984.2   56529.1   51789.2   48267.1   45861.5   43902.1   42331.0   41092.9   40133.3   39394.5 |    9.870 10.633 11.555 12.463 13.315 14.176 15.041 15.907 16.776 17.653 |
   1500 |   52311.6   48536.9   44527.8   41642.2   39670.2   38094.1   36865.1   35936.7   35263.9   34799.5 |   10.044 10.809 11.731 12.624 13.464 14.307 15.145 15.977 16.800 17.621 |
   3000 |   44505.0   41324.7   37951.1   35604.6   33999.1   32741.7   31791.5   31109.2   30657.8   30398.5 |   10.239 11.011 11.938 12.821 13.655 14.486 15.306 16.111 16.902 17.681 |
   4500 |   37553.6   34890.4   32068.2   30176.5   28879.4   27886.0   27161.9   26673.9   26391.9   26283.7 |   10.453 11.235 12.171 13.049 13.880 14.703 15.511 16.298 17.063 17.811 |
   6000 |   31421.2   29205.9   26860.3   25349.9   24311.0   23534.8   22992.6   22656.4   22501.9   22502.5 |   10.685 11.479 12.427 13.303 14.136 14.956 15.754 16.528 17.275 17.999 |
   7500 |   26059.8   24230.2   22294.4   21101.3   20277.3   19678.7   19281.4   19062.5   19001.9   19078.0 |   10.933 11.742 12.706 13.582 14.420 15.240 16.034 16.798 17.532 18.238 |
   9000 |   21413.8   19914.6   18329.3   17398.2   16751.8   16297.1   16014.0   15884.0   15890.7   16016.3 |   11.199 12.024 13.008 13.886 14.731 15.553 16.346 17.105 17.828 18.523 |
  10500 |   17424.0   16205.9   14918.5   14201.8   13700.9   13361.7   13167.6   13103.6   13156.3   13311.5 |   11.481 12.326 13.331 14.214 15.068 15.896 16.689 17.445 18.162 18.848 |
  12000 |   13873.3   12903.7   11879.0   11319.8   10928.0   10666.6   10522.2   10483.0   10538.4   10677.0 |   11.582 12.435 13.448 14.333 15.191 16.021 16.815 17.570 18.286 18.969 |
  13500 |   10961.4   10195.3    9385.6    8943.8    8634.3    8427.7    8313.7    8282.7    8326.4    8435.9 |   11.582 12.435 13.448 14.333 15.191 16.021 16.815 17.570 18.286 18.969 |
  15000 |    8661.6    8056.2    7416.5    7067.3    6822.7    6659.5    6569.4    6544.9    6579.5    6666.0 |   11.582 12.435 13.448 14.333 15.191 16.021 16.815 17.570 18.286 18.969 |


--------------------------------------------------
 Tuesday, 17. July 2018 09:06:32 PM
