Altitude:    0 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
751.01     0.1110    108249.3585    9.5232    8.7652    0.0148    0.0018    1.8223    0.1913    0.1095 
793.46     0.1022    107963.8718    9.5232    8.8165    0.0136    0.0018    1.8223    0.1913    0.1008 
841.63     0.0934    107661.3006    9.5232    8.8660    0.0124    0.0018    1.8223    0.1913    0.0921 
892.79     0.0852    107361.3656    9.5232    8.9107    0.0114    0.0018    1.8223    0.1913    0.0839 
948.82     0.0773    107054.7048    9.5232    8.9522    0.0104    0.0018    1.8223    0.1913    0.0761 
1005.84     0.0703    106762.7695    9.5232    8.9877    0.0096    0.0018    1.8223    0.1913    0.0691 
1076.46     0.0628    106425.6017    9.5232    9.0241    0.0088    0.0018    1.8223    0.1913    0.0618 
1132.12     0.0576    106176.3447    9.5232    9.0487    0.0083    0.0018    1.8223    0.1913    0.0566 
1197.69     0.0521    105899.1087    9.5232    9.0740    0.0077    0.0018    1.8223    0.1913    0.0511 
1268.36     0.0467    105617.7397    9.5232    9.0977    0.0072    0.0018    1.8223    0.1913    0.0459 
1327.03     0.0427    105396.3664    9.5232    9.1151    0.0068    0.0018    1.8223    0.1913    0.0419 
1365.23     0.0403    105257.6508    9.5232    9.1254    0.0066    0.0018    1.8223    0.1913    0.0395 
1405.05     0.0378    105117.2430    9.5232    9.1354    0.0064    0.0018    1.8223    0.1913    0.0371 
1442.54     0.0357    104988.7932    9.5232    9.1443    0.0062    0.0018    1.8223    0.1913    0.0350 
1475.04     0.0339    104880.1738    9.5232    9.1515    0.0060    0.0018    1.8223    0.1913    0.0332 
1498.95     0.0326    104801.8199    9.5232    9.1566    0.0059    0.0018    1.8223    0.1913    0.0320 
1523.15     0.0314    104723.7935    9.5232    9.1615    0.0058    0.0018    1.8223    0.1913    0.0307 
1555.32     0.0298    104622.0407    9.5232    9.1679    0.0057    0.0018    1.8223    0.1913    0.0292 
1604.53     0.0274    104470.4320    9.5232    9.1769    0.0055    0.0018    1.8223    0.1913    0.0269 
1653.13     0.0252    104325.2792    9.5232    9.1853    0.0053    0.0018    1.8223    0.1913    0.0247 
2124.47     0.0411    102082.8407    11.7615    11.3108    0.0032    0.0018    1.4760    0.1255    0.0400 
2149.99     0.0403    102021.8621    11.7615    11.3143    0.0032    0.0018    1.4760    0.1255    0.0392 
2172.05     0.0396    101969.7309    11.7615    11.3172    0.0032    0.0018    1.4760    0.1255    0.0386 
2196.76     0.0389    101911.9534    11.7615    11.3204    0.0031    0.0018    1.4760    0.1255    0.0378 
2214.18     0.0384    101871.6000    11.7615    11.3227    0.0031    0.0018    1.4760    0.1255    0.0373 
2217.93     0.0383    101862.9626    11.7615    11.3231    0.0031    0.0018    1.4760    0.1255    0.0372 

Altitude: 6000 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
860.64     0.0898    89056.6517    9.5232    8.8861    0.0120    0.0018    1.8223    0.1913    0.0884 
895.98     0.0843    88890.3086    9.5232    8.9157    0.0113    0.0018    1.8223    0.1913    0.0830 
983.84     0.0727    88507.2776    9.5232    8.9757    0.0099    0.0018    1.8223    0.1913    0.0715 
1033.67     0.0671    88306.6429    9.5232    9.0034    0.0093    0.0018    1.8223    0.1913    0.0660 
1095.62     0.0609    88071.4590    9.5232    9.0334    0.0086    0.0018    1.8223    0.1913    0.0598 
1130.49     0.0577    87945.3684    9.5232    9.0485    0.0083    0.0018    1.8223    0.1913    0.0566 
1209.58     0.0511    87674.1415    9.5232    9.0786    0.0076    0.0018    1.8223    0.1913    0.0501 
1291.12     0.0451    87413.4811    9.5232    9.1050    0.0070    0.0018    1.8223    0.1913    0.0442 
1335.28     0.0421    87279.4440    9.5232    9.1176    0.0068    0.0018    1.8223    0.1913    0.0413 
1362.88     0.0404    87197.9820    9.5232    9.1250    0.0066    0.0018    1.8223    0.1913    0.0395 
1408.90     0.0376    87065.8863    9.5232    9.1366    0.0063    0.0018    1.8223    0.1913    0.0368 
1454.15     0.0350    86940.2742    9.5232    9.1471    0.0061    0.0018    1.8223    0.1913    0.0343 
1494.52     0.0328    86831.5492    9.5232    9.1558    0.0059    0.0018    1.8223    0.1913    0.0321 
1553.08     0.0299    86679.0629    9.5232    9.1675    0.0057    0.0018    1.8223    0.1913    0.0292 
1564.38     0.0293    86650.3142    9.5232    9.1697    0.0056    0.0018    1.8223    0.1913    0.0287 
1570.57     0.0290    86634.6558    9.5232    9.1708    0.0056    0.0018    1.8223    0.1913    0.0284 
1581.97     0.0285    86605.9901    9.5232    9.1729    0.0055    0.0018    1.8223    0.1913    0.0278 
1594.47     0.0279    86574.7792    9.5232    9.1752    0.0055    0.0018    1.8223    0.1913    0.0273 
1606.00     0.0273    86546.2247    9.5232    9.1773    0.0055    0.0018    1.8223    0.1913    0.0267 
1617.59     0.0268    86517.7228    9.5232    9.1793    0.0054    0.0018    1.8223    0.1913    0.0262 
1630.31     0.0262    86486.6895    9.5232    9.1815    0.0054    0.0018    1.8223    0.1913    0.0257 
1639.90     0.0258    86463.4553    9.5232    9.1831    0.0053    0.0018    1.8223    0.1913    0.0252 
1650.60     0.0253    86437.6802    9.5232    9.1849    0.0053    0.0018    1.8223    0.1913    0.0248 
1663.51     0.0248    86406.8062    9.5232    9.1870    0.0052    0.0018    1.8223    0.1913    0.0242 
2079.84     0.0426    84693.3983    11.7615    11.3042    0.0033    0.0018    1.4760    0.1255    0.0414 
2094.18     0.0421    84664.8183    11.7615    11.3062    0.0033    0.0018    1.4760    0.1255    0.0410 
2108.59     0.0416    84636.2849    11.7615    11.3083    0.0033    0.0018    1.4760    0.1255    0.0405 
2121.63     0.0412    84610.6446    11.7615    11.3101    0.0033    0.0018    1.4760    0.1255    0.0401 
2128.90     0.0410    84596.4162    11.7615    11.3111    0.0032    0.0018    1.4760    0.1255    0.0399 
2136.19     0.0408    84582.1993    11.7615    11.3121    0.0032    0.0018    1.4760    0.1255    0.0397 
2143.50     0.0406    84567.9939    11.7615    11.3131    0.0032    0.0018    1.4760    0.1255    0.0394 
2153.76     0.0402    84548.1256    11.7615    11.3145    0.0032    0.0018    1.4760    0.1255    0.0391 
2162.59     0.0400    84531.1135    11.7615    11.3157    0.0032    0.0018    1.4760    0.1255    0.0389 
2172.92     0.0397    84511.2868    11.7615    11.3170    0.0032    0.0018    1.4760    0.1255    0.0386 
2181.81     0.0394    84494.3101    11.7615    11.3182    0.0032    0.0018    1.4760    0.1255    0.0383 
2190.72     0.0391    84477.3498    11.7615    11.3194    0.0031    0.0018    1.4760    0.1255    0.0380 
2196.68     0.0390    84466.0520    11.7615    11.3201    0.0031    0.0018    1.4760    0.1255    0.0379 
2199.66     0.0389    84460.4058    11.7615    11.3205    0.0031    0.0018    1.4760    0.1255    0.0378 
2204.14     0.0387    84451.9398    11.7615    11.3211    0.0031    0.0018    1.4760    0.1255    0.0377 
2205.64     0.0387    84449.1187    11.7615    11.3213    0.0031    0.0018    1.4760    0.1255    0.0376 
2208.63     0.0386    84443.4779    11.7615    11.3217    0.0031    0.0018    1.4760    0.1255    0.0375 
2211.63     0.0385    84437.8389    11.7615    11.3220    0.0031    0.0018    1.4760    0.1255    0.0374 
2214.62     0.0384    84432.2017    11.7615    11.3224    0.0031    0.0018    1.4760    0.1255    0.0374 
2219.13     0.0383    84423.7492    11.7615    11.3230    0.0031    0.0018    1.4760    0.1255    0.0372 
2223.64     0.0382    84415.3007    11.7615    11.3236    0.0031    0.0018    1.4760    0.1255    0.0371 
2232.68     0.0379    84398.4159    11.7615    11.3247    0.0031    0.0018    1.4760    0.1255    0.0369 
2237.21     0.0378    84389.9795    11.7615    11.3252    0.0031    0.0018    1.4760    0.1255    0.0367 
2249.33     0.0374    84367.5019    11.7615    11.3267    0.0031    0.0018    1.4760    0.1255    0.0364 
2255.41     0.0373    84356.2738    11.7615    11.3275    0.0031    0.0018    1.4760    0.1255    0.0362 
2264.55     0.0370    84339.4449    11.7615    11.3286    0.0030    0.0018    1.4760    0.1255    0.0360 
2272.19     0.0368    84325.4329    11.7615    11.3295    0.0030    0.0018    1.4760    0.1255    0.0358 
2278.31     0.0366    84314.2312    11.7615    11.3302    0.0030    0.0018    1.4760    0.1255    0.0356 
2282.91     0.0365    84305.8346    11.7615    11.3308    0.0030    0.0018    1.4760    0.1255    0.0355 
2289.06     0.0363    84294.6452    11.7615    11.3315    0.0030    0.0018    1.4760    0.1255    0.0353 
2296.76     0.0361    84280.6683    11.7615    11.3324    0.0030    0.0018    1.4760    0.1255    0.0351 
2302.93     0.0360    84269.4947    11.7615    11.3331    0.0030    0.0018    1.4760    0.1255    0.0349 
2313.77     0.0357    84249.9576    11.7615    11.3343    0.0030    0.0018    1.4760    0.1255    0.0347 
2323.09     0.0354    84233.2284    11.7615    11.3354    0.0030    0.0018    1.4760    0.1255    0.0344 
2330.87     0.0352    84219.2993    11.7615    11.3363    0.0029    0.0018    1.4760    0.1255    0.0342 
2340.24     0.0350    84202.5987    11.7615    11.3373    0.0029    0.0018    1.4760    0.1255    0.0340 
2351.21     0.0347    84183.1343    11.7615    11.3386    0.0029    0.0018    1.4760    0.1255    0.0337 
2360.64     0.0344    84166.4672    11.7615    11.3396    0.0029    0.0018    1.4760    0.1255    0.0334 
