 SFC   MDOT  POWER THROTTLE 
0.2669  10916.98  0.00  1.0000
0.2670  10878.32  0.00  1.0000
0.2673  10765.63  0.00  1.0000
0.2677  10588.22  0.00  1.0000
0.2683  10359.91  0.00  1.0000
0.2690  10097.04  0.00  1.0000
0.2697  9816.39  0.00  1.0000
0.2705  9533.53  0.00  1.0000
0.2714  9261.77  0.00  1.0000
0.2722  9011.67  0.00  1.0000
0.2729  8791.10  0.00  1.0000
0.2735  8605.55  0.00  1.0000
0.2740  8458.61  0.00  1.0000
0.2744  8352.47  0.00  1.0000
0.2747  8288.39  0.00  1.0000
0.2747  8266.97  0.00  1.0000

0.2918  8575.89  0.00  1.0000
0.2918  8570.29  0.00  1.0000
0.2919  8553.76  0.00  1.0000
0.2920  8527.17  0.00  1.0000
0.2921  8491.87  0.00  1.0000
0.2922  8449.62  0.00  1.0000
0.2924  8402.46  0.00  1.0000
0.2926  8352.61  0.00  1.0000
0.2928  8302.31  0.00  1.0000
0.2929  8253.77  0.00  1.0000
0.2931  8208.99  0.00  1.0000
0.2932  8169.80  0.00  1.0000
0.2934  8137.69  0.00  1.0000
0.2935  8113.89  0.00  1.0000
0.2935  8099.25  0.00  1.0000
0.2935  8094.32  0.00  1.0000

0.3107  8481.45  0.00  1.0000
0.3109  8432.65  0.00  1.0000
0.3114  8291.92  0.00  1.0000
0.3122  8074.91  0.00  1.0000
0.3132  7803.68  0.00  1.0000
0.3144  7502.32  0.00  1.0000
0.3158  7193.20  0.00  1.0000
0.3171  6894.49  0.00  1.0000
0.3185  6619.38  0.00  1.0000
0.3197  6376.28  0.00  1.0000
0.3209  6169.75  0.00  1.0000
0.3218  6001.65  0.00  1.0000
0.3226  5872.16  0.00  1.0000
0.3231  5780.62  0.00  1.0000
0.3234  5726.14  0.00  1.0000
0.3235  5708.07  0.00  1.0000

0.3381  6043.73  0.00  1.0000
0.3383  6022.08  0.00  1.0000
0.3386  5959.55  0.00  1.0000
0.3392  5862.86  0.00  1.0000
0.3399  5741.61  0.00  1.0000
0.3408  5606.47  0.00  1.0000
0.3416  5467.51  0.00  1.0000
0.3425  5333.11  0.00  1.0000
0.3434  5209.41  0.00  1.0000
0.3441  5100.36  0.00  1.0000
0.3448  5008.06  0.00  1.0000
0.3454  4933.28  0.00  1.0000
0.3458  4875.95  0.00  1.0000
0.3461  4835.59  0.00  1.0000
0.3463  4811.65  0.00  1.0000
0.3463  4803.72  0.00  1.0000

0.3463  4803.72  0.00  1.0000
0.3464  4795.71  0.00  1.0000
0.3466  4772.54  0.00  1.0000
0.3469  4736.57  0.00  1.0000
0.3472  4691.23  0.00  1.0000
0.3476  4640.40  0.00  1.0000
0.3480  4587.81  0.00  1.0000
0.3485  4536.64  0.00  1.0000
0.3488  4489.29  0.00  1.0000
0.3492  4447.33  0.00  1.0000
0.3495  4411.67  0.00  1.0000
0.3497  4382.67  0.00  1.0000
0.3499  4360.37  0.00  1.0000
0.3501  4344.63  0.00  1.0000
0.3501  4335.28  0.00  1.0000
0.3502  4332.18  0.00  1.0000

0.3509  4064.76  0.00  0.9351
0.3509  4060.53  0.00  0.9341
0.3509  4048.06  0.00  0.9313
0.3509  4028.08  0.00  0.9267
0.3509  4001.71  0.00  0.9206
0.3509  3970.38  0.00  0.9134
0.3509  3935.71  0.00  0.9054
0.3509  3899.42  0.00  0.8971
0.3509  3863.16  0.00  0.8887
0.3509  3828.50  0.00  0.8808
0.3509  3796.84  0.00  0.8735
0.3509  3769.35  0.00  0.8672
0.3509  3747.01  0.00  0.8620
0.3509  3730.53  0.00  0.8582
0.3509  3720.45  0.00  0.8559
0.3509  3717.05  0.00  0.8551

0.3485  713.04  0.00  0.1659
0.3484  714.08  0.00  0.1659
0.3482  717.22  0.00  0.1658
0.3479  722.57  0.00  0.1657
0.3475  730.21  0.00  0.1656
0.3470  740.18  0.00  0.1657
0.3465  752.38  0.00  0.1660
0.3459  766.52  0.00  0.1664
0.3453  782.09  0.00  0.1671
0.3447  798.38  0.00  0.1680
0.3442  814.52  0.00  0.1689
0.3437  829.55  0.00  0.1699
0.3434  842.48  0.00  0.1707
0.3431  852.44  0.00  0.1714
0.3429  858.72  0.00  0.1718
0.3428  860.86  0.00  0.1720

0.3240  155.08  0.00  0.0334
0.3237  158.29  0.00  0.0339
0.3230  168.62  0.00  0.0354
0.3218  187.88  0.00  0.0381
0.3202  218.43  0.00  0.0424
0.3184  262.35  0.00  0.0484
0.3164  320.68  0.00  0.0558
0.3143  392.90  0.00  0.0644
0.3122  476.69  0.00  0.0735
0.3102  567.98  0.00  0.0825
0.3085  661.29  0.00  0.0911
0.3070  750.22  0.00  0.0986
0.3058  828.17  0.00  0.1047
0.3050  888.99  0.00  0.1093
0.3044  927.66  0.00  0.1121
0.3043  940.92  0.00  0.1130

0.2711  190.98  0.00  0.0248
0.2710  191.35  0.00  0.0247
0.2706  192.67  0.00  0.0246
0.2700  195.50  0.00  0.0245
0.2693  200.60  0.00  0.0245
0.2684  208.70  0.00  0.0248
0.2674  220.33  0.00  0.0253
0.2663  235.60  0.00  0.0261
0.2653  254.12  0.00  0.0272
0.2644  275.00  0.00  0.0285
0.2635  296.89  0.00  0.0298
0.2627  318.16  0.00  0.0310
0.2621  337.05  0.00  0.0321
0.2617  351.93  0.00  0.0330
0.2614  361.45  0.00  0.0335
0.2613  364.72  0.00  0.0337

