Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  77.6 m2 
  ASPECT RATIO ....................  10.3    
  WING SWEEP ......................  35.0 deg
  WING THICKNESS RATIO ............  0.13    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.771    
  MEAN AEROD. CHORD ............... 2.983 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00149    |       34.1    |      1.210    |    0.00280    |      0.996    |      0.990    |
 main_wing                            |    0.00711    |      155.1    |      1.236    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00229    |       49.6    |      1.216    |    0.00294    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00031    |        7.0    |      1.185    |    0.00286    |      0.996    |      0.990    |
 fuselage                             |    0.00816    |      280.0    |      1.106    |    0.00204    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00077    |       17.6    |      1.185    |    0.00286    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00135    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02224    |      561.1    |               |               |               |               |


-------------------------------------------
 Saturday, 22. September 2018 06:36:19 PM
