Output file with engine data 

  VEHICLE TAG : base


 DELTA ISA:   0 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |       100       122       144       167       189       211       233       256       278       300 |      100    122    144    167    189    211    233    256    278    300 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   12069.5   11649.1   11363.1   11104.1   10870.5   10660.8   10473.9   10308.3   10163.0   10036.7 |    0.427  0.443  0.457  0.471  0.485  0.499  0.513  0.526  0.540  0.553 |
   5000 |   10300.9    9962.4    9725.7    9512.6    9321.8    9152.0    9002.1    8871.2    8758.0    8661.7 |    0.435  0.451  0.465  0.479  0.493  0.506  0.520  0.534  0.547  0.560 |
  10000 |    8723.4    8453.9    8259.4    8085.3    7930.7    7794.4    7675.5    7573.1    7486.3    7414.4 |    0.444  0.459  0.473  0.487  0.501  0.515  0.529  0.542  0.555  0.568 |
  15000 |    7328.5    7116.5    6957.9    6816.9    6692.7    6584.4    6491.2    6412.3    6346.9    6294.6 |    0.454  0.469  0.483  0.497  0.511  0.524  0.538  0.551  0.565  0.578 |
  20000 |    6105.3    5941.0    5812.6    5699.5    5600.7    5515.6    5443.5    5383.8    5335.8    5298.9 |    0.464  0.479  0.493  0.507  0.521  0.535  0.548  0.562  0.575  0.588 |
  25000 |    5041.7    4916.4    4813.5    4723.6    4646.0    4580.0    4525.2    4480.9    4446.6    4421.9 |    0.474  0.489  0.504  0.518  0.532  0.546  0.560  0.573  0.586  0.599 |
  30000 |    4124.7    4030.9    3949.4    3878.8    3818.6    3768.2    3727.2    3695.3    3671.8    3656.6 |    0.486  0.501  0.515  0.530  0.544  0.558  0.572  0.585  0.598  0.611 |
  35000 |    3346.1    3272.5    3208.6    3153.9    3107.8    3070.1    3040.2    3017.9    3002.8    2994.7 |    0.498  0.513  0.527  0.542  0.557  0.571  0.585  0.598  0.611  0.624 |
  40000 |    2648.2    2590.3    2540.2    2497.3    2461.4    2432.1    2409.1    2392.2    2381.0    2375.3 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |
  45000 |    2084.5    2039.0    1999.5    1965.7    1937.5    1914.4    1896.3    1883.0    1874.2    1869.7 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |
  50000 |    1641.0    1605.2    1574.1    1547.5    1525.2    1507.1    1492.9    1482.3    1475.4    1471.9 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |

 DELTA ISA:  10 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |       100       122       144       167       189       211       233       256       278       300 |      100    122    144    167    189    211    233    256    278    300 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   11746.8   11313.5   11026.2   10764.3   10526.6   10311.5   10117.9    9944.5    9790.2    9653.6 |    0.420  0.436  0.450  0.464  0.478  0.492  0.506  0.520  0.534  0.548 |
   5000 |   10040.3    9690.4    9452.4    9236.9    9042.4    8867.9    8712.3    8574.5    8453.5    8348.4 |    0.427  0.443  0.457  0.471  0.485  0.499  0.512  0.526  0.540  0.553 |
  10000 |    8512.9    8233.0    8037.4    7861.2    7703.4    7563.0    7439.1    7330.8    7237.2    7157.5 |    0.435  0.451  0.465  0.479  0.492  0.506  0.520  0.534  0.547  0.560 |
  15000 |    7158.5    6937.2    6777.6    6634.7    6507.7    6395.8    6298.2    6214.1    6142.8    6083.7 |    0.444  0.459  0.473  0.487  0.501  0.515  0.528  0.542  0.555  0.568 |
  20000 |    5968.3    5795.5    5666.3    5551.4    5450.2    5361.9    5285.9    5221.6    5168.4    5125.6 |    0.453  0.469  0.483  0.497  0.511  0.524  0.538  0.551  0.565  0.578 |
  25000 |    4931.4    4798.5    4694.8    4603.4    4523.6    4454.8    4396.5    4348.2    4309.3    4279.5 |    0.464  0.479  0.493  0.507  0.521  0.535  0.548  0.562  0.575  0.588 |
  30000 |    4036.1    3935.7    3853.3    3781.3    3719.1    3666.3    3622.3    3586.8    3559.3    3539.5 |    0.474  0.489  0.504  0.518  0.532  0.546  0.560  0.573  0.586  0.599 |
  35000 |    3270.1    3195.7    3131.0    3075.0    3027.2    2987.3    2954.8    2929.4    2910.7    2898.6 |    0.486  0.500  0.515  0.529  0.544  0.558  0.572  0.585  0.598  0.611 |
  40000 |    2587.6    2529.6    2478.8    2434.9    2397.6    2366.5    2341.4    2321.9    2307.8    2299.0 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |
  45000 |    2036.9    1991.1    1951.2    1916.6    1887.2    1862.8    1843.0    1827.7    1816.6    1809.6 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |
  50000 |    1603.5    1567.5    1536.0    1508.8    1485.7    1466.4    1450.9    1438.8    1430.1    1424.6 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |


--------------------------------------------------
 Thursday, 27. September 2018 06:28:57 PM
