Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |  FUEL  |            SPEED              |
                                | From  |   To  |Initial | Final  |         |       |        |Inicial| Final |Inicial| Final |
                                |   ft  |   ft  |   kg   |   kg   |    nm   |  min  |   kg   | KCAS  | KCAS  |  Mach |  Mach |
                                |       |       |        |        |         |       |        |       |       |       |       |
climb_1                         |      0|  10000|   36737|   36564|       11|    2.4|     173|  268.3|  232.1|  0.406|  0.420|
climb_2                         |  10000|  11998|   36564|   36529|        3|    0.6|      35|  283.4|  275.1|  0.512|  0.515|
climb_3                         |  11998|  25000|   36529|   36253|       34|    5.3|     276|  328.9|  268.6|  0.614|  0.646|
climb_4                         |  25000|  32000|   36253|   36010|       44|    6.2|     243|  300.2|  266.8|  0.717|  0.739|
climb_5                         |  32000|  34900|   36010|   35818|       41|    5.6|     192|  273.3|  259.7|  0.755|  0.765|
cruise                          |  34900|  34900|   35818|   31524|     1111|  148.2|    4294|  265.4|  265.4|  0.780|  0.780|
descent_1                       |  34900|  30545|   31524|   31515|       12|    1.7|       9|  258.9|  279.4|  0.763|  0.748|
descent_2                       |  30545|  11998|   31515|   31456|       49|    8.1|      59|  228.6|  308.3|  0.621|  0.576|
descent_3                       |  11998|     -0|   31456|   31442|       33|    8.0|      14|  209.6|  250.0|  0.395|  0.378|
reserve_climb                   |     -0|  15000|   31442|   31171|       27|    6.0|     272|  268.3|  214.9|  0.406|  0.428|
reserve_cruise                  |  15000|  15000|   31171|   30612|      140|   26.8|     559|  251.8|  251.8|  0.500|  0.500|
reserve_loiter                  |  15000|  15000|   30612|   29994|      157|   30.0|     618|  251.8|  251.8|  0.500|  0.500|
reserve_descent_1               |  15000|     -0|   29994|   29775|       74|   25.4|     219|  149.8|  158.8|  0.300|  0.240|


 Total Range (nm) ...........      1737
 Total Fuel  (kg) ...........      6962
 Total Time  (hh:mm) ........     04:34


-------------------------------------------
 Thursday, 27. September 2018 11:17:23 PM
