Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  76.4 m2 
  MAIN WING SWEEP ...............  23.2 deg
  MAIN WING THICKNESS RATIO .....  0.12    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00042 | 0.00116 | 0.00298 | 0.00725 | 0.01673 | 0.03692 | 
 0.350 |  0.00000 | 0.00000 | 0.00002 | 0.00005 | 0.00017 | 0.00051 | 0.00141 | 0.00364 | 0.00884 | 0.02040 | 0.04503 | 
 0.400 |  0.00000 | 0.00000 | 0.00002 | 0.00007 | 0.00021 | 0.00062 | 0.00172 | 0.00441 | 0.01072 | 0.02476 | 0.05464 | 
 0.450 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00025 | 0.00075 | 0.00207 | 0.00532 | 0.01293 | 0.02985 | 0.06588 | 
 0.500 |  0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00030 | 0.00090 | 0.00247 | 0.00637 | 0.01547 | 0.03571 | 0.07881 | 
 0.550 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00036 | 0.00107 | 0.00293 | 0.00755 | 0.01834 | 0.04235 | 0.09345 | 
 0.600 |  0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00042 | 0.00125 | 0.00345 | 0.00886 | 0.02153 | 0.04972 | 0.10974 | 
 0.650 |  0.00000 | 0.00001 | 0.00004 | 0.00015 | 0.00049 | 0.00146 | 0.00400 | 0.01030 | 0.02502 | 0.05777 | 0.12750 | 
 0.700 |  0.00000 | 0.00001 | 0.00005 | 0.00018 | 0.00057 | 0.00167 | 0.00460 | 0.01183 | 0.02874 | 0.06637 | 0.14648 | 
 0.750 |  0.00000 | 0.00001 | 0.00006 | 0.00020 | 0.00064 | 0.00190 | 0.00522 | 0.01343 | 0.03263 | 0.07535 | 0.16629 | 
 0.800 |  0.00000 | 0.00002 | 0.00006 | 0.00022 | 0.00072 | 0.00213 | 0.00585 | 0.01506 | 0.03659 | 0.08448 | 0.18644 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.700 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
