Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  70.4 m2 
  ASPECT RATIO ....................   9.0    
  WING SWEEP ......................  23.8 deg
  WING THICKNESS RATIO ............  0.12    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.782    
  MEAN AEROD. CHORD ............... 3.040 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00151    |       31.0    |      1.210    |    0.00283    |      0.996    |      0.990    |
 main_wing                            |    0.00731    |      140.7    |      1.271    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00231    |       45.0    |      1.216    |    0.00298    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00034    |        7.0    |      1.185    |    0.00287    |      0.996    |      0.990    |
 fuselage                             |    0.00902    |      280.0    |      1.106    |    0.00205    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00084    |       17.4    |      1.185    |    0.00287    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00144    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02361    |      538.5    |               |               |               |               |


-------------------------------------------
 Sunday, 23. September 2018 05:03:39 PM
