Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  70.8 m2 
  ASPECT RATIO ....................  10.0    
  WING SWEEP ......................  23.4 deg
  WING THICKNESS RATIO ............  0.12    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.766    
  MEAN AEROD. CHORD ............... 2.884 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00149    |       31.2    |      1.210    |    0.00281    |      0.996    |      0.990    |
 main_wing                            |    0.00738    |      141.7    |      1.283    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00229    |       45.3    |      1.216    |    0.00295    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00033    |        7.0    |      1.185    |    0.00284    |      0.996    |      0.990    |
 fuselage                             |    0.00889    |      280.0    |      1.106    |    0.00203    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00083    |       17.4    |      1.185    |    0.00284    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00144    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02349    |      540.0    |               |               |               |               |


-------------------------------------------
 Sunday, 23. September 2018 01:51:52 PM
