Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  85.0 m2 
  MAIN WING SWEEP ...............  15.0 deg
  MAIN WING THICKNESS RATIO .....  0.10    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00019 | 0.00056 | 0.00154 | 0.00397 | 0.00965 | 0.02229 | 0.04919 | 
 0.350 |  0.00000 | 0.00000 | 0.00002 | 0.00007 | 0.00023 | 0.00068 | 0.00188 | 0.00483 | 0.01173 | 0.02708 | 0.05976 | 
 0.400 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00028 | 0.00083 | 0.00227 | 0.00584 | 0.01419 | 0.03277 | 0.07231 | 
 0.450 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00034 | 0.00100 | 0.00273 | 0.00703 | 0.01709 | 0.03945 | 0.08707 | 
 0.500 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00040 | 0.00119 | 0.00327 | 0.00842 | 0.02045 | 0.04722 | 0.10421 | 
 0.550 |  0.00000 | 0.00001 | 0.00004 | 0.00015 | 0.00048 | 0.00142 | 0.00389 | 0.01001 | 0.02431 | 0.05615 | 0.12391 | 
 0.600 |  0.00000 | 0.00001 | 0.00005 | 0.00018 | 0.00057 | 0.00167 | 0.00459 | 0.01181 | 0.02870 | 0.06627 | 0.14625 | 
 0.650 |  0.00000 | 0.00001 | 0.00006 | 0.00020 | 0.00066 | 0.00196 | 0.00538 | 0.01383 | 0.03360 | 0.07760 | 0.17125 | 
 0.700 |  0.00000 | 0.00002 | 0.00007 | 0.00024 | 0.00077 | 0.00227 | 0.00624 | 0.01606 | 0.03902 | 0.09010 | 0.19883 | 
 0.750 |  0.00000 | 0.00002 | 0.00008 | 0.00027 | 0.00088 | 0.00262 | 0.00718 | 0.01848 | 0.04490 | 0.10368 | 0.22881 | 
 0.800 |  0.00000 | 0.00002 | 0.00009 | 0.00031 | 0.00101 | 0.00298 | 0.00819 | 0.02107 | 0.05119 | 0.11819 | 0.26085 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
