Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  67.2 m2 
  MAIN WING SWEEP ...............  28.1 deg
  MAIN WING THICKNESS RATIO .....  0.15    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00047 | 0.00130 | 0.00335 | 0.00813 | 0.01878 | 0.04144 | 
 0.350 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00020 | 0.00058 | 0.00159 | 0.00409 | 0.00993 | 0.02293 | 0.05061 | 
 0.400 |  0.00000 | 0.00001 | 0.00002 | 0.00007 | 0.00024 | 0.00070 | 0.00192 | 0.00495 | 0.01203 | 0.02777 | 0.06128 | 
 0.450 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00028 | 0.00084 | 0.00231 | 0.00593 | 0.01441 | 0.03328 | 0.07345 | 
 0.500 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00034 | 0.00100 | 0.00273 | 0.00703 | 0.01708 | 0.03943 | 0.08702 | 
 0.550 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00039 | 0.00116 | 0.00320 | 0.00822 | 0.01997 | 0.04612 | 0.10179 | 
 0.600 |  0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00045 | 0.00134 | 0.00369 | 0.00949 | 0.02305 | 0.05321 | 0.11744 | 
 0.650 |  0.00000 | 0.00001 | 0.00004 | 0.00016 | 0.00052 | 0.00153 | 0.00419 | 0.01079 | 0.02620 | 0.06051 | 0.13354 | 
 0.700 |  0.00000 | 0.00001 | 0.00005 | 0.00018 | 0.00058 | 0.00171 | 0.00470 | 0.01208 | 0.02934 | 0.06776 | 0.14954 | 
 0.750 |  0.00000 | 0.00001 | 0.00006 | 0.00020 | 0.00064 | 0.00188 | 0.00518 | 0.01331 | 0.03234 | 0.07469 | 0.16483 | 
 0.800 |  0.00000 | 0.00001 | 0.00006 | 0.00021 | 0.00069 | 0.00204 | 0.00561 | 0.01444 | 0.03507 | 0.08098 | 0.17872 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.700 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.750 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.800 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.146 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00043 | 0.00117 | 0.00302 | 0.00733 | 0.01692 | 0.03734 | 
 0.350 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00018 | 0.00053 | 0.00146 | 0.00376 | 0.00913 | 0.02107 | 0.04651 | 
