Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  68.6 m2 
  MAIN WING SWEEP ...............  30.5 deg
  MAIN WING THICKNESS RATIO .....  0.14    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00012 | 0.00035 | 0.00097 | 0.00248 | 0.00603 | 0.01393 | 0.03075 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00043 | 0.00118 | 0.00303 | 0.00736 | 0.01699 | 0.03749 | 
 0.400 |  0.00000 | 0.00000 | 0.00002 | 0.00005 | 0.00018 | 0.00052 | 0.00142 | 0.00366 | 0.00890 | 0.02055 | 0.04534 | 
 0.450 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00021 | 0.00062 | 0.00170 | 0.00438 | 0.01065 | 0.02459 | 0.05427 | 
 0.500 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00025 | 0.00073 | 0.00202 | 0.00518 | 0.01259 | 0.02908 | 0.06417 | 
 0.550 |  0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00029 | 0.00086 | 0.00235 | 0.00605 | 0.01469 | 0.03392 | 0.07485 | 
 0.600 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00033 | 0.00098 | 0.00270 | 0.00695 | 0.01688 | 0.03898 | 0.08602 | 
 0.650 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00038 | 0.00111 | 0.00305 | 0.00786 | 0.01909 | 0.04408 | 0.09729 | 
 0.700 |  0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00042 | 0.00124 | 0.00340 | 0.00874 | 0.02123 | 0.04903 | 0.10820 | 
 0.750 |  0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00046 | 0.00135 | 0.00371 | 0.00955 | 0.02321 | 0.05359 | 0.11827 | 
 0.800 |  0.00000 | 0.00001 | 0.00004 | 0.00015 | 0.00049 | 0.00145 | 0.00399 | 0.01026 | 0.02491 | 0.05753 | 0.12697 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.700 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.750 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.800 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.143 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00030 | 0.00084 | 0.00215 | 0.00523 | 0.01207 | 0.02664 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00038 | 0.00105 | 0.00270 | 0.00655 | 0.01513 | 0.03339 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00047 | 0.00129 | 0.00333 | 0.00809 | 0.01869 | 0.04124 | 
 0.450 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00019 | 0.00057 | 0.00158 | 0.00405 | 0.00985 | 0.02273 | 0.05017 | 
 0.500 |  0.00000 | 0.00000 | 0.00002 | 0.00007 | 0.00023 | 0.00069 | 0.00189 | 0.00485 | 0.01179 | 0.02722 | 0.06007 | 
 0.550 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00027 | 0.00081 | 0.00222 | 0.00571 | 0.01388 | 0.03206 | 0.07075 | 
 0.600 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00032 | 0.00094 | 0.00257 | 0.00662 | 0.01607 | 0.03712 | 0.08191 | 
 0.650 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00036 | 0.00107 | 0.00293 | 0.00753 | 0.01829 | 0.04222 | 0.09318 | 
 0.700 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00040 | 0.00119 | 0.00327 | 0.00841 | 0.02043 | 0.04717 | 0.10410 | 
 0.750 |  0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00044 | 0.00131 | 0.00358 | 0.00922 | 0.02240 | 0.05173 | 0.11417 | 
 0.800 |  0.00000 | 0.00001 | 0.00004 | 0.00015 | 0.00047 | 0.00140 | 0.00386 | 0.00992 | 0.02411 | 0.05567 | 0.12286 | 
-----------------------------------------------------------------------------------------------------------------------
 VERTICAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.700 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.750 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
 0.800 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00005 | 0.00012 | 0.00029 | 0.00066 | 0.00146 | 
-----------------------------------------------------------------------------------------------------------------------

 Tuesday, 25. September 2018 08:07:26 PM
