Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  75.0 m2 
  ASPECT RATIO ....................   9.5    
  WING SWEEP ......................  28.0 deg
  WING THICKNESS RATIO ............  0.13    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.778    
  MEAN AEROD. CHORD ............... 3.050 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00150    |       33.0    |      1.210    |    0.00282    |      0.996    |      0.990    |
 main_wing                            |    0.00732    |      150.0    |      1.273    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00230    |       48.0    |      1.216    |    0.00296    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00032    |        7.0    |      1.185    |    0.00287    |      0.996    |      0.990    |
 fuselage                             |    0.00847    |      280.0    |      1.106    |    0.00205    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00080    |       17.6    |      1.185    |    0.00287    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00138    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02289    |      553.2    |               |               |               |               |


-------------------------------------------
 Tuesday, 25. September 2018 08:09:50 PM
