Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  70.8 m2 
  MAIN WING SWEEP ...............  22.8 deg
  MAIN WING THICKNESS RATIO .....  0.12    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00048 | 0.00132 | 0.00341 | 0.00827 | 0.01911 | 0.04216 | 
 0.350 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00020 | 0.00059 | 0.00162 | 0.00416 | 0.01009 | 0.02331 | 0.05144 | 
 0.400 |  0.00000 | 0.00001 | 0.00002 | 0.00007 | 0.00024 | 0.00071 | 0.00196 | 0.00504 | 0.01225 | 0.02828 | 0.06241 | 
 0.450 |  0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00029 | 0.00086 | 0.00236 | 0.00607 | 0.01475 | 0.03407 | 0.07519 | 
 0.500 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00035 | 0.00103 | 0.00282 | 0.00726 | 0.01763 | 0.04072 | 0.08986 | 
 0.550 |  0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00041 | 0.00122 | 0.00334 | 0.00860 | 0.02088 | 0.04822 | 0.10642 | 
 0.600 |  0.00000 | 0.00001 | 0.00004 | 0.00015 | 0.00048 | 0.00143 | 0.00392 | 0.01008 | 0.02449 | 0.05654 | 0.12478 | 
 0.650 |  0.00000 | 0.00001 | 0.00005 | 0.00017 | 0.00056 | 0.00166 | 0.00454 | 0.01169 | 0.02840 | 0.06559 | 0.14475 | 
 0.700 |  0.00000 | 0.00001 | 0.00006 | 0.00020 | 0.00064 | 0.00190 | 0.00521 | 0.01341 | 0.03258 | 0.07522 | 0.16601 | 
 0.750 |  0.00000 | 0.00002 | 0.00006 | 0.00023 | 0.00073 | 0.00215 | 0.00591 | 0.01520 | 0.03692 | 0.08525 | 0.18815 | 
 0.800 |  0.00000 | 0.00002 | 0.00007 | 0.00025 | 0.00081 | 0.00241 | 0.00661 | 0.01701 | 0.04133 | 0.09543 | 0.21060 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
