Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  74.8 m2 
  ASPECT RATIO ....................  10.6    
  WING SWEEP ......................  35.0 deg
  WING THICKNESS RATIO ............  0.14    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.763    
  MEAN AEROD. CHORD ............... 2.883 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00149    |       32.9    |      1.210    |    0.00279    |      0.996    |      0.990    |
 main_wing                            |    0.00717    |      149.5    |      1.247    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00228    |       47.8    |      1.216    |    0.00294    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00032    |        7.0    |      1.185    |    0.00284    |      0.996    |      0.990    |
 fuselage                             |    0.00843    |      280.0    |      1.106    |    0.00203    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00079    |       17.5    |      1.185    |    0.00284    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00139    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02266    |      552.3    |               |               |               |               |


-------------------------------------------
 Tuesday, 25. September 2018 08:51:45 PM
