Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  70.2 m2 
  MAIN WING SWEEP ...............  30.0 deg
  MAIN WING THICKNESS RATIO .....  0.13    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00029 | 0.00080 | 0.00205 | 0.00498 | 0.01151 | 0.02540 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00012 | 0.00035 | 0.00097 | 0.00250 | 0.00607 | 0.01401 | 0.03093 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00043 | 0.00118 | 0.00302 | 0.00734 | 0.01696 | 0.03743 | 
 0.450 |  0.00000 | 0.00000 | 0.00002 | 0.00005 | 0.00017 | 0.00051 | 0.00141 | 0.00363 | 0.00881 | 0.02035 | 0.04492 | 
 0.500 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00021 | 0.00061 | 0.00168 | 0.00431 | 0.01047 | 0.02418 | 0.05335 | 
 0.550 |  0.00000 | 0.00001 | 0.00002 | 0.00007 | 0.00024 | 0.00072 | 0.00197 | 0.00506 | 0.01229 | 0.02837 | 0.06261 | 
 0.600 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00028 | 0.00083 | 0.00228 | 0.00586 | 0.01423 | 0.03285 | 0.07250 | 
 0.650 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00032 | 0.00095 | 0.00260 | 0.00668 | 0.01624 | 0.03749 | 0.08274 | 
 0.700 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00036 | 0.00106 | 0.00292 | 0.00751 | 0.01824 | 0.04213 | 0.09297 | 
 0.750 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00040 | 0.00118 | 0.00323 | 0.00830 | 0.02017 | 0.04657 | 0.10278 | 
 0.800 |  0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00043 | 0.00128 | 0.00351 | 0.00902 | 0.02192 | 0.05062 | 0.11172 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
