Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |  FUEL  |            SPEED              |
                                | From  |   To  |Initial | Final  |         |       |        |Inicial| Final |Inicial| Final |
                                |   ft  |   ft  |   kg   |   kg   |    nm   |  min  |   kg   | KCAS  | KCAS  |  Mach |  Mach |
                                |       |       |        |        |         |       |        |       |       |       |       |
climb_1                         |      0|  10000|   37140|   36963|       11|    2.5|     176|  268.3|  232.1|  0.406|  0.420|
climb_2                         |  10000|  11998|   36963|   36927|        3|    0.6|      36|  283.4|  275.1|  0.512|  0.515|
climb_3                         |  11998|  25000|   36927|   36642|       36|    5.5|     285|  328.9|  268.6|  0.614|  0.646|
climb_4                         |  25000|  32000|   36642|   36356|       53|    7.1|     286|  311.8|  277.3|  0.743|  0.765|
climb_5                         |  32000|  34900|   36356|   36120|       51|    6.9|     237|  277.3|  263.5|  0.765|  0.775|
cruise                          |  34900|  34900|   36120|   31889|     1078|  143.7|    4231|  265.4|  265.4|  0.780|  0.780|
descent_1                       |  34900|  30545|   31889|   31879|       12|    1.7|      10|  258.9|  279.4|  0.763|  0.748|
descent_2                       |  30545|  11998|   31879|   31815|       49|    8.1|      64|  228.6|  308.3|  0.621|  0.576|
descent_3                       |  11998|     -0|   31815|   31800|       33|    8.0|      16|  209.6|  250.0|  0.395|  0.378|
reserve_climb                   |     -0|  15000|   31800|   31523|       27|    6.0|     276|  268.3|  214.9|  0.406|  0.428|
reserve_cruise                  |  15000|  15000|   31523|   30952|      140|   26.8|     572|  251.8|  251.8|  0.500|  0.500|
reserve_loiter                  |  15000|  15000|   30952|   30319|      157|   30.0|     633|  251.8|  251.8|  0.500|  0.500|
reserve_descent_1               |  15000|     -0|   30319|   30090|       74|   25.4|     229|  149.8|  158.8|  0.300|  0.240|


 Total Range (nm) ...........      1723
 Total Fuel  (kg) ...........      7049
 Total Time  (hh:mm) ........     04:32


-------------------------------------------
 Friday, 21. September 2018 04:06:18 PM
