Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  75.2 m2 
  MAIN WING SWEEP ...............  22.9 deg
  MAIN WING THICKNESS RATIO .....  0.11    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00040 | 0.00111 | 0.00285 | 0.00692 | 0.01598 | 0.03527 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00017 | 0.00049 | 0.00135 | 0.00347 | 0.00844 | 0.01948 | 0.04299 | 
 0.400 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00020 | 0.00060 | 0.00164 | 0.00421 | 0.01024 | 0.02364 | 0.05217 | 
 0.450 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00024 | 0.00072 | 0.00198 | 0.00508 | 0.01235 | 0.02851 | 0.06292 | 
 0.500 |  0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00029 | 0.00086 | 0.00237 | 0.00608 | 0.01478 | 0.03413 | 0.07533 | 
 0.550 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00035 | 0.00102 | 0.00281 | 0.00722 | 0.01755 | 0.04052 | 0.08943 | 
 0.600 |  0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00041 | 0.00120 | 0.00330 | 0.00850 | 0.02064 | 0.04765 | 0.10517 | 
 0.650 |  0.00000 | 0.00001 | 0.00004 | 0.00015 | 0.00047 | 0.00140 | 0.00384 | 0.00989 | 0.02402 | 0.05547 | 0.12242 | 
 0.700 |  0.00000 | 0.00001 | 0.00005 | 0.00017 | 0.00054 | 0.00161 | 0.00443 | 0.01139 | 0.02766 | 0.06387 | 0.14095 | 
 0.750 |  0.00000 | 0.00001 | 0.00005 | 0.00019 | 0.00062 | 0.00183 | 0.00504 | 0.01296 | 0.03148 | 0.07268 | 0.16041 | 
 0.800 |  0.00000 | 0.00001 | 0.00006 | 0.00022 | 0.00070 | 0.00206 | 0.00566 | 0.01457 | 0.03539 | 0.08172 | 0.18036 | 
