Output file with engine data 

  VEHICLE TAG : base


 DELTA ISA:   0 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |       100       122       144       167       189       211       233       256       278       300 |      100    122    144    167    189    211    233    256    278    300 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   11930.6   11515.0   11232.3   10976.3   10745.3   10538.1   10353.3   10189.7   10046.0    9921.2 |    0.427  0.443  0.457  0.471  0.485  0.499  0.513  0.526  0.540  0.553 |
   5000 |   10182.3    9847.7    9613.8    9403.1    9214.4    9046.6    8898.5    8769.0    8657.2    8562.0 |    0.435  0.451  0.465  0.479  0.493  0.506  0.520  0.534  0.547  0.560 |
  10000 |    8623.0    8356.6    8164.3    7992.3    7839.4    7704.7    7587.1    7485.9    7400.2    7329.0 |    0.444  0.459  0.473  0.487  0.501  0.515  0.529  0.542  0.555  0.568 |
  15000 |    7244.1    7034.6    6877.8    6738.4    6615.6    6508.6    6416.4    6338.4    6273.9    6222.1 |    0.454  0.469  0.483  0.497  0.511  0.524  0.538  0.551  0.565  0.578 |
  20000 |    6035.0    5872.6    5745.7    5633.9    5536.3    5452.2    5380.9    5321.8    5274.3    5237.9 |    0.464  0.479  0.493  0.507  0.521  0.535  0.548  0.562  0.575  0.588 |
  25000 |    4983.7    4859.8    4758.1    4669.2    4592.5    4527.3    4473.1    4429.3    4395.4    4371.0 |    0.474  0.489  0.504  0.518  0.532  0.546  0.560  0.573  0.586  0.599 |
  30000 |    4077.2    3984.5    3903.9    3834.1    3774.6    3724.8    3684.3    3652.7    3629.5    3614.5 |    0.486  0.501  0.515  0.530  0.544  0.558  0.572  0.585  0.598  0.611 |
  35000 |    3307.6    3234.9    3171.7    3117.5    3072.0    3034.7    3005.2    2983.2    2968.3    2960.2 |    0.498  0.513  0.527  0.542  0.557  0.571  0.585  0.598  0.611  0.624 |
  40000 |    2617.7    2560.5    2510.9    2468.6    2433.1    2404.1    2381.4    2364.6    2353.5    2347.9 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |
  45000 |    2060.5    2015.5    1976.5    1943.1    1915.2    1892.4    1874.5    1861.3    1852.6    1848.2 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |
  50000 |    1622.1    1586.7    1555.9    1529.7    1507.7    1489.7    1475.7    1465.3    1458.4    1454.9 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |

 DELTA ISA:  10 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |       100       122       144       167       189       211       233       256       278       300 |      100    122    144    167    189    211    233    256    278    300 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   11611.6   11183.3   10899.2   10640.4   10405.4   10192.8   10001.5    9830.1    9677.5    9542.5 |    0.420  0.436  0.450  0.464  0.478  0.492  0.506  0.520  0.534  0.548 |
   5000 |    9924.8    9578.8    9343.6    9130.5    8938.3    8765.9    8612.0    8475.8    8356.2    8252.3 |    0.427  0.443  0.457  0.471  0.485  0.499  0.512  0.526  0.540  0.553 |
  10000 |    8414.9    8138.3    7944.9    7770.7    7614.7    7475.9    7353.5    7246.4    7153.9    7075.1 |    0.435  0.451  0.465  0.479  0.492  0.506  0.520  0.534  0.547  0.560 |
  15000 |    7076.1    6857.4    6699.5    6558.3    6432.8    6322.2    6225.7    6142.5    6072.1    6013.6 |    0.444  0.459  0.473  0.487  0.501  0.515  0.528  0.542  0.555  0.568 |
  20000 |    5899.6    5728.8    5601.0    5487.5    5387.4    5300.2    5225.1    5161.5    5108.9    5066.6 |    0.453  0.469  0.483  0.497  0.511  0.524  0.538  0.551  0.565  0.578 |
  25000 |    4874.6    4743.3    4640.8    4550.4    4471.5    4403.5    4345.9    4298.1    4259.7    4230.3 |    0.464  0.479  0.493  0.507  0.521  0.535  0.548  0.562  0.575  0.588 |
  30000 |    3989.7    3890.4    3809.0    3737.8    3676.3    3624.1    3580.6    3545.5    3518.3    3498.8 |    0.474  0.489  0.504  0.518  0.532  0.546  0.560  0.573  0.586  0.599 |
  35000 |    3232.5    3158.9    3095.0    3039.6    2992.4    2952.9    2920.8    2895.6    2877.2    2865.2 |    0.486  0.500  0.515  0.529  0.544  0.558  0.572  0.585  0.598  0.611 |
  40000 |    2557.9    2500.5    2450.3    2406.9    2370.0    2339.3    2314.4    2295.2    2281.3    2272.5 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |
  45000 |    2013.4    1968.2    1928.7    1894.6    1865.5    1841.3    1821.8    1806.6    1795.7    1788.8 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |
  50000 |    1585.0    1549.5    1518.3    1491.5    1468.6    1449.6    1434.2    1422.2    1413.6    1408.2 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |


--------------------------------------------------
 Monday, 24. September 2018 12:23:43 PM
