Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  73.4 m2 
  MAIN WING SWEEP ...............  24.3 deg
  MAIN WING THICKNESS RATIO .....  0.12    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00040 | 0.00109 | 0.00280 | 0.00680 | 0.01570 | 0.03464 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00048 | 0.00133 | 0.00341 | 0.00829 | 0.01914 | 0.04225 | 
 0.400 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00020 | 0.00059 | 0.00161 | 0.00414 | 0.01006 | 0.02323 | 0.05127 | 
 0.450 |  0.00000 | 0.00001 | 0.00002 | 0.00007 | 0.00024 | 0.00071 | 0.00194 | 0.00499 | 0.01213 | 0.02801 | 0.06181 | 
 0.500 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00029 | 0.00085 | 0.00232 | 0.00597 | 0.01451 | 0.03350 | 0.07393 | 
 0.550 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00034 | 0.00100 | 0.00275 | 0.00708 | 0.01719 | 0.03969 | 0.08760 | 
 0.600 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00040 | 0.00118 | 0.00323 | 0.00830 | 0.02016 | 0.04656 | 0.10276 | 
 0.650 |  0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00046 | 0.00136 | 0.00374 | 0.00963 | 0.02339 | 0.05402 | 0.11922 | 
 0.700 |  0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00053 | 0.00156 | 0.00429 | 0.01104 | 0.02682 | 0.06194 | 0.13669 | 
 0.750 |  0.00000 | 0.00001 | 0.00005 | 0.00019 | 0.00060 | 0.00177 | 0.00486 | 0.01250 | 0.03038 | 0.07014 | 0.15479 | 
 0.800 |  0.00000 | 0.00001 | 0.00006 | 0.00021 | 0.00067 | 0.00198 | 0.00543 | 0.01398 | 0.03396 | 0.07841 | 0.17304 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.700 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.750 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.800 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.117 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00012 | 0.00035 | 0.00096 | 0.00247 | 0.00599 | 0.01384 | 0.03054 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00015 | 0.00044 | 0.00120 | 0.00308 | 0.00749 | 0.01729 | 0.03815 | 
 0.400 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00018 | 0.00054 | 0.00148 | 0.00381 | 0.00926 | 0.02137 | 0.04717 | 
 0.450 |  0.00000 | 0.00000 | 0.00002 | 0.00007 | 0.00022 | 0.00066 | 0.00181 | 0.00466 | 0.01132 | 0.02615 | 0.05771 | 
 0.500 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00027 | 0.00080 | 0.00219 | 0.00564 | 0.01370 | 0.03164 | 0.06982 | 
 0.550 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00032 | 0.00095 | 0.00262 | 0.00674 | 0.01639 | 0.03784 | 0.08350 | 
 0.600 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00038 | 0.00113 | 0.00310 | 0.00797 | 0.01936 | 0.04470 | 0.09866 | 
