Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  76.4 m2 
  ASPECT RATIO ....................   9.5    
  WING SWEEP ......................  25.3 deg
  WING THICKNESS RATIO ............  0.11    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.781    
  MEAN AEROD. CHORD ............... 3.084 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00150    |       33.6    |      1.210    |    0.00282    |      0.996    |      0.990    |
 main_wing                            |    0.00712    |      152.7    |      1.238    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00230    |       48.8    |      1.216    |    0.00296    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00031    |        7.0    |      1.185    |    0.00287    |      0.996    |      0.990    |
 fuselage                             |    0.00833    |      280.0    |      1.106    |    0.00205    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00078    |       17.5    |      1.185    |    0.00287    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00137    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02250    |      557.2    |               |               |               |               |


-------------------------------------------
 Monday, 24. September 2018 09:38:30 AM
