Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  75.0 m2 
  ASPECT RATIO ....................   8.0    
  WING SWEEP ......................  20.0 deg
  WING THICKNESS RATIO ............  0.11    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.801    
  MEAN AEROD. CHORD ............... 3.324 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00152    |       33.0    |      1.210    |    0.00286    |      0.996    |      0.990    |
 main_wing                            |    0.00725    |      150.0    |      1.261    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00234    |       48.0    |      1.216    |    0.00300    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00032    |        7.0    |      1.185    |    0.00291    |      0.996    |      0.990    |
 fuselage                             |    0.00857    |      280.0    |      1.106    |    0.00208    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00081    |       17.6    |      1.185    |    0.00291    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00138    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02299    |      553.2    |               |               |               |               |


-------------------------------------------
 Tuesday, 25. September 2018 08:11:49 PM
