Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  76.1 m2 
  MAIN WING SWEEP ...............  30.0 deg
  MAIN WING THICKNESS RATIO .....  0.12    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00023 | 0.00062 | 0.00159 | 0.00387 | 0.00894 | 0.01972 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00027 | 0.00075 | 0.00193 | 0.00469 | 0.01083 | 0.02390 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00033 | 0.00091 | 0.00233 | 0.00566 | 0.01308 | 0.02887 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00040 | 0.00109 | 0.00280 | 0.00680 | 0.01570 | 0.03465 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00047 | 0.00130 | 0.00333 | 0.00810 | 0.01870 | 0.04126 | 
 0.550 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00019 | 0.00056 | 0.00153 | 0.00393 | 0.00954 | 0.02203 | 0.04862 | 
 0.600 |  0.00000 | 0.00000 | 0.00002 | 0.00007 | 0.00022 | 0.00065 | 0.00178 | 0.00457 | 0.01111 | 0.02565 | 0.05661 | 
 0.650 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00025 | 0.00074 | 0.00204 | 0.00525 | 0.01276 | 0.02947 | 0.06504 | 
 0.700 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00028 | 0.00084 | 0.00231 | 0.00595 | 0.01445 | 0.03338 | 0.07366 | 
 0.750 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00032 | 0.00094 | 0.00258 | 0.00664 | 0.01612 | 0.03722 | 0.08214 | 
 0.800 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00035 | 0.00103 | 0.00283 | 0.00728 | 0.01769 | 0.04084 | 0.09014 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.700 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.750 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.800 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.115 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00006 | 0.00018 | 0.00049 | 0.00126 | 0.00307 | 0.00708 | 0.01562 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00023 | 0.00062 | 0.00160 | 0.00388 | 0.00897 | 0.01980 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00028 | 0.00078 | 0.00200 | 0.00486 | 0.01122 | 0.02476 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00012 | 0.00035 | 0.00096 | 0.00247 | 0.00600 | 0.01384 | 0.03055 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00042 | 0.00117 | 0.00300 | 0.00729 | 0.01684 | 0.03716 | 
 0.550 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00017 | 0.00051 | 0.00140 | 0.00360 | 0.00874 | 0.02017 | 0.04452 | 
 0.600 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00020 | 0.00060 | 0.00165 | 0.00424 | 0.01030 | 0.02379 | 0.05251 | 
 0.650 |  0.00000 | 0.00001 | 0.00002 | 0.00007 | 0.00024 | 0.00070 | 0.00191 | 0.00492 | 0.01196 | 0.02761 | 0.06094 | 
