Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  72.0 m2 
  MAIN WING SWEEP ...............  30.0 deg
  MAIN WING THICKNESS RATIO .....  0.12    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00009 | 0.00026 | 0.00070 | 0.00180 | 0.00438 | 0.01011 | 0.02231 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00031 | 0.00085 | 0.00219 | 0.00532 | 0.01228 | 0.02710 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00037 | 0.00103 | 0.00265 | 0.00643 | 0.01485 | 0.03278 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00015 | 0.00045 | 0.00124 | 0.00318 | 0.00772 | 0.01783 | 0.03935 | 
 0.500 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00018 | 0.00054 | 0.00147 | 0.00378 | 0.00918 | 0.02121 | 0.04680 | 
 0.550 |  0.00000 | 0.00000 | 0.00002 | 0.00007 | 0.00021 | 0.00063 | 0.00173 | 0.00445 | 0.01080 | 0.02494 | 0.05504 | 
 0.600 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00025 | 0.00073 | 0.00201 | 0.00516 | 0.01254 | 0.02896 | 0.06392 | 
 0.650 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00028 | 0.00084 | 0.00230 | 0.00591 | 0.01436 | 0.03316 | 0.07319 | 
 0.700 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00032 | 0.00094 | 0.00259 | 0.00667 | 0.01620 | 0.03741 | 0.08255 | 
 0.750 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00035 | 0.00105 | 0.00288 | 0.00740 | 0.01799 | 0.04153 | 0.09165 | 
 0.800 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00039 | 0.00114 | 0.00314 | 0.00808 | 0.01964 | 0.04535 | 0.10008 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
