Output file with engine data 

  VEHICLE TAG : base


 DELTA ISA:   0 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |       100       122       144       167       189       211       233       256       278       300 |      100    122    144    167    189    211    233    256    278    300 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   12023.0   11604.1   11319.3   11061.3   10828.5   10619.7   10433.5   10268.6   10123.8    9998.0 |    0.427  0.443  0.457  0.471  0.485  0.499  0.513  0.526  0.540  0.553 |
   5000 |   10261.1    9924.0    9688.2    9475.9    9285.8    9116.7    8967.4    8836.9    8724.2    8628.3 |    0.435  0.451  0.465  0.479  0.493  0.506  0.520  0.534  0.547  0.560 |
  10000 |    8689.8    8421.3    8227.5    8054.2    7900.1    7764.3    7645.9    7543.9    7457.5    7385.8 |    0.444  0.459  0.473  0.487  0.501  0.515  0.529  0.542  0.555  0.568 |
  15000 |    7300.2    7089.1    6931.0    6790.6    6666.9    6559.0    6466.1    6387.5    6322.5    6270.3 |    0.454  0.469  0.483  0.497  0.511  0.524  0.538  0.551  0.565  0.578 |
  20000 |    6081.8    5918.1    5790.2    5677.5    5579.1    5494.4    5422.6    5363.0    5315.2    5278.5 |    0.464  0.479  0.493  0.507  0.521  0.535  0.548  0.562  0.575  0.588 |
  25000 |    5022.3    4897.4    4795.0    4705.4    4628.1    4562.4    4507.7    4463.6    4429.5    4404.9 |    0.474  0.489  0.504  0.518  0.532  0.546  0.560  0.573  0.586  0.599 |
  30000 |    4108.8    4015.4    3934.2    3863.8    3803.8    3753.7    3712.9    3681.0    3657.7    3642.5 |    0.486  0.501  0.515  0.530  0.544  0.558  0.572  0.585  0.598  0.611 |
  35000 |    3333.2    3259.9    3196.2    3141.7    3095.8    3058.2    3028.5    3006.3    2991.2    2983.1 |    0.498  0.513  0.527  0.542  0.557  0.571  0.585  0.598  0.611  0.624 |
  40000 |    2638.0    2580.4    2530.4    2487.7    2451.9    2422.7    2399.8    2382.9    2371.8    2366.1 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |
  45000 |    2076.5    2031.1    1991.8    1958.2    1930.0    1907.0    1889.0    1875.7    1866.9    1862.5 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |
  50000 |    1634.7    1599.0    1568.0    1541.5    1519.4    1501.3    1487.1    1476.6    1469.7    1466.2 |    0.500  0.515  0.530  0.545  0.560  0.574  0.588  0.601  0.614  0.627 |

 DELTA ISA:  10 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |       100       122       144       167       189       211       233       256       278       300 |      100    122    144    167    189    211    233    256    278    300 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   11701.5   11269.9   10983.6   10722.8   10486.0   10271.8   10078.9    9906.2    9752.4    9616.4 |    0.420  0.436  0.450  0.464  0.478  0.492  0.506  0.520  0.534  0.548 |
   5000 |   10001.6    9653.0    9416.0    9201.3    9007.6    8833.8    8678.7    8541.5    8420.9    8316.2 |    0.427  0.443  0.457  0.471  0.485  0.499  0.512  0.526  0.540  0.553 |
  10000 |    8480.1    8201.3    8006.4    7830.9    7673.7    7533.8    7410.4    7302.5    7209.3    7129.9 |    0.435  0.451  0.465  0.479  0.492  0.506  0.520  0.534  0.547  0.560 |
  15000 |    7130.9    6910.5    6751.4    6609.1    6482.6    6371.1    6273.9    6190.1    6119.1    6060.2 |    0.444  0.459  0.473  0.487  0.501  0.515  0.528  0.542  0.555  0.568 |
  20000 |    5945.2    5773.2    5644.4    5530.0    5429.2    5341.3    5265.6    5201.5    5148.4    5105.9 |    0.453  0.469  0.483  0.497  0.511  0.524  0.538  0.551  0.565  0.578 |
  25000 |    4912.4    4780.0    4676.7    4585.6    4506.1    4437.6    4379.6    4331.4    4292.7    4263.0 |    0.464  0.479  0.493  0.507  0.521  0.535  0.548  0.562  0.575  0.588 |
  30000 |    4020.6    3920.5    3838.5    3766.7    3704.8    3652.2    3608.4    3573.0    3545.6    3525.9 |    0.474  0.489  0.504  0.518  0.532  0.546  0.560  0.573  0.586  0.599 |
  35000 |    3257.5    3183.4    3119.0    3063.2    3015.6    2975.8    2943.4    2918.1    2899.5    2887.4 |    0.486  0.500  0.515  0.529  0.544  0.558  0.572  0.585  0.598  0.611 |
  40000 |    2577.7    2519.8    2469.2    2425.5    2388.3    2357.4    2332.3    2312.9    2298.9    2290.1 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |
  45000 |    2029.0    1983.5    1943.6    1909.2    1880.0    1855.6    1835.9    1820.6    1809.6    1802.6 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |
  50000 |    1597.3    1561.5    1530.1    1503.0    1480.0    1460.8    1445.3    1433.3    1424.6    1419.1 |    0.488  0.503  0.518  0.532  0.547  0.561  0.574  0.588  0.601  0.614 |


--------------------------------------------------
 Wednesday, 26. September 2018 11:39:21 PM
