Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  68.4 m2 
  ASPECT RATIO ....................   9.4    
  WING SWEEP ......................  30.0 deg
  WING THICKNESS RATIO ............  0.14    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.772    
  MEAN AEROD. CHORD ............... 2.924 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00150    |       30.1    |      1.210    |    0.00282    |      0.996    |      0.990    |
 main_wing                            |    0.00738    |      136.7    |      1.282    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00231    |       43.7    |      1.216    |    0.00297    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00035    |        7.0    |      1.185    |    0.00285    |      0.996    |      0.990    |
 fuselage                             |    0.00923    |      280.0    |      1.106    |    0.00204    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00087    |       17.5    |      1.185    |    0.00285    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00147    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02396    |      532.6    |               |               |               |               |


-------------------------------------------
 Thursday, 27. September 2018 12:10:00 PM
