Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  69.1 m2 
  ASPECT RATIO ....................   8.2    
  WING SWEEP ......................  21.8 deg
  WING THICKNESS RATIO ............  0.10    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.794    
  MEAN AEROD. CHORD ............... 3.157 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00152    |       30.4    |      1.210    |    0.00285    |      0.996    |      0.990    |
 main_wing                            |    0.00713    |      138.2    |      1.239    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00233    |       44.2    |      1.216    |    0.00300    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00035    |        7.0    |      1.185    |    0.00288    |      0.996    |      0.990    |
 fuselage                             |    0.00923    |      280.0    |      1.106    |    0.00206    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00087    |       17.6    |      1.185    |    0.00288    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00146    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02376    |      535.0    |               |               |               |               |


-------------------------------------------
 Wednesday, 26. September 2018 10:42:13 PM
