Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  78.0 m2 
  ASPECT RATIO ....................   9.1    
  WING SWEEP ......................  23.2 deg
  WING THICKNESS RATIO ............  0.10    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.788    
  MEAN AEROD. CHORD ............... 3.177 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00150    |       34.3    |      1.210    |    0.00283    |      0.996    |      0.990    |
 main_wing                            |    0.00706    |      156.0    |      1.228    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00231    |       49.9    |      1.216    |    0.00297    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00031    |        7.0    |      1.185    |    0.00289    |      0.996    |      0.990    |
 fuselage                             |    0.00819    |      280.0    |      1.106    |    0.00206    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00077    |       17.5    |      1.185    |    0.00289    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00135    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02226    |      562.3    |               |               |               |               |


-------------------------------------------
 Wednesday, 26. September 2018 11:51:52 PM
