Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  78.0 m2 
  MAIN WING SWEEP ...............  23.2 deg
  MAIN WING THICKNESS RATIO .....  0.10    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00033 | 0.00092 | 0.00236 | 0.00572 | 0.01322 | 0.02917 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00041 | 0.00111 | 0.00287 | 0.00696 | 0.01608 | 0.03549 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00017 | 0.00049 | 0.00135 | 0.00348 | 0.00845 | 0.01950 | 0.04304 | 
 0.450 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00020 | 0.00059 | 0.00163 | 0.00419 | 0.01019 | 0.02353 | 0.05193 | 
 0.500 |  0.00000 | 0.00001 | 0.00002 | 0.00007 | 0.00024 | 0.00071 | 0.00195 | 0.00503 | 0.01222 | 0.02821 | 0.06225 | 
 0.550 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00029 | 0.00085 | 0.00233 | 0.00598 | 0.01453 | 0.03355 | 0.07405 | 
 0.600 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00034 | 0.00100 | 0.00274 | 0.00705 | 0.01713 | 0.03956 | 0.08730 | 
 0.650 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00039 | 0.00117 | 0.00320 | 0.00823 | 0.02000 | 0.04618 | 0.10191 | 
 0.700 |  0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00045 | 0.00135 | 0.00370 | 0.00951 | 0.02310 | 0.05334 | 0.11772 | 
 0.750 |  0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00052 | 0.00154 | 0.00422 | 0.01086 | 0.02638 | 0.06092 | 0.13445 | 
 0.800 |  0.00000 | 0.00001 | 0.00005 | 0.00018 | 0.00059 | 0.00174 | 0.00476 | 0.01226 | 0.02978 | 0.06875 | 0.15174 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.700 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.750 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.800 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.102 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00029 | 0.00079 | 0.00202 | 0.00492 | 0.01136 | 0.02507 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00012 | 0.00036 | 0.00099 | 0.00254 | 0.00616 | 0.01422 | 0.03139 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00015 | 0.00045 | 0.00122 | 0.00315 | 0.00764 | 0.01764 | 0.03894 | 
 0.450 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00018 | 0.00055 | 0.00150 | 0.00386 | 0.00939 | 0.02167 | 0.04783 | 
 0.500 |  0.00000 | 0.00000 | 0.00002 | 0.00007 | 0.00022 | 0.00066 | 0.00183 | 0.00470 | 0.01141 | 0.02635 | 0.05815 | 
 0.550 |  0.00000 | 0.00001 | 0.00002 | 0.00008 | 0.00027 | 0.00080 | 0.00220 | 0.00565 | 0.01373 | 0.03169 | 0.06995 | 
 0.600 |  0.00000 | 0.00001 | 0.00003 | 0.00010 | 0.00032 | 0.00095 | 0.00261 | 0.00672 | 0.01633 | 0.03770 | 0.08319 | 
 0.650 |  0.00000 | 0.00001 | 0.00003 | 0.00012 | 0.00038 | 0.00112 | 0.00307 | 0.00790 | 0.01919 | 0.04432 | 0.09781 | 
 0.700 |  0.00000 | 0.00001 | 0.00004 | 0.00014 | 0.00044 | 0.00130 | 0.00357 | 0.00918 | 0.02229 | 0.05148 | 0.11361 | 
 0.750 |  0.00000 | 0.00001 | 0.00004 | 0.00016 | 0.00050 | 0.00149 | 0.00409 | 0.01053 | 0.02558 | 0.05906 | 0.13034 | 
 0.800 |  0.00000 | 0.00001 | 0.00005 | 0.00018 | 0.00057 | 0.00169 | 0.00464 | 0.01193 | 0.02897 | 0.06690 | 0.14763 | 
-----------------------------------------------------------------------------------------------------------------------
 VERTICAL_STABILIZER  ( t/c: 0.120 )
