Altitude:    0 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
750.98     0.1134    108249.7194    9.5226    8.9542    0.0104    0.0018    1.8223    0.1914    0.1119 
793.43     0.1044    107964.2400    9.5226    8.9918    0.0095    0.0018    1.8223    0.1914    0.1030 
841.60     0.0954    107661.6764    9.5226    9.0279    0.0087    0.0018    1.8223    0.1914    0.0941 
892.76     0.0871    107361.7491    9.5226    9.0603    0.0080    0.0018    1.8223    0.1914    0.0858 
948.78     0.0790    107055.0961    9.5226    9.0905    0.0073    0.0018    1.8223    0.1914    0.0778 
1005.80     0.0718    106763.1683    9.5226    9.1162    0.0068    0.0018    1.8223    0.1914    0.0707 
1076.41     0.0643    106426.0091    9.5226    9.1424    0.0062    0.0018    1.8223    0.1914    0.0632 
1132.08     0.0590    106176.7584    9.5226    9.1601    0.0058    0.0018    1.8223    0.1914    0.0579 
1197.63     0.0533    105899.5294    9.5226    9.1784    0.0054    0.0018    1.8223    0.1914    0.0524 
1268.30     0.0479    105618.1676    9.5226    9.1954    0.0051    0.0018    1.8223    0.1914    0.0470 
1326.97     0.0438    105396.8000    9.5226    9.2078    0.0048    0.0018    1.8223    0.1914    0.0430 
1365.16     0.0413    105258.0879    9.5226    9.2152    0.0046    0.0018    1.8223    0.1914    0.0405 
1404.99     0.0389    105117.6837    9.5226    9.2224    0.0045    0.0018    1.8223    0.1914    0.0381 
1442.47     0.0367    104989.2372    9.5226    9.2288    0.0043    0.0018    1.8223    0.1914    0.0360 
1474.97     0.0349    104880.6205    9.5226    9.2339    0.0042    0.0018    1.8223    0.1914    0.0342 
1498.88     0.0336    104802.2687    9.5226    9.2376    0.0041    0.0018    1.8223    0.1914    0.0329 
1523.08     0.0323    104724.2443    9.5226    9.2411    0.0041    0.0018    1.8223    0.1914    0.0317 
1555.24     0.0307    104622.4940    9.5226    9.2456    0.0040    0.0018    1.8223    0.1914    0.0301 
1604.45     0.0283    104470.8892    9.5226    9.2521    0.0038    0.0018    1.8223    0.1914    0.0277 
1653.05     0.0261    104325.7401    9.5226    9.2581    0.0037    0.0018    1.8223    0.1914    0.0255 
2118.65     0.0416    102109.5539    11.7371    11.3719    0.0023    0.0018    1.4798    0.1261    0.0405 
2144.08     0.0408    102048.6558    11.7371    11.3744    0.0023    0.0018    1.4798    0.1261    0.0397 
2166.07     0.0401    101996.5934    11.7371    11.3765    0.0022    0.0018    1.4798    0.1261    0.0390 
2190.69     0.0394    101938.8921    11.7371    11.3788    0.0022    0.0018    1.4798    0.1261    0.0383 
2208.05     0.0389    101898.5921    11.7371    11.3804    0.0022    0.0018    1.4798    0.1261    0.0378 
2211.79     0.0387    101889.9660    11.7371    11.3807    0.0022    0.0018    1.4798    0.1261    0.0377 

Altitude: 6000 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
860.60     0.0917    89056.9601    9.5226    9.0425    0.0084    0.0018    1.8223    0.1914    0.0903 
895.95     0.0861    88890.6213    9.5226    9.0640    0.0079    0.0018    1.8223    0.1914    0.0848 
983.80     0.0743    88507.5999    9.5226    9.1075    0.0070    0.0018    1.8223    0.1914    0.0731 
1033.62     0.0686    88306.9704    9.5226    9.1275    0.0065    0.0018    1.8223    0.1914    0.0674 
1095.58     0.0623    88071.7924    9.5226    9.1492    0.0061    0.0018    1.8223    0.1914    0.0612 
1130.44     0.0590    87945.7050    9.5226    9.1600    0.0058    0.0018    1.8223    0.1914    0.0579 
1209.52     0.0523    87674.4851    9.5226    9.1817    0.0053    0.0018    1.8223    0.1914    0.0513 
1291.06     0.0462    87413.8313    9.5226    9.2006    0.0049    0.0018    1.8223    0.1914    0.0453 
1335.22     0.0432    87279.7976    9.5226    9.2097    0.0047    0.0018    1.8223    0.1914    0.0424 
1362.82     0.0414    87198.3377    9.5226    9.2150    0.0046    0.0018    1.8223    0.1914    0.0406 
1408.83     0.0386    87066.2454    9.5226    9.2232    0.0045    0.0018    1.8223    0.1914    0.0378 
1454.08     0.0360    86940.6365    9.5226    9.2308    0.0043    0.0018    1.8223    0.1914    0.0352 
1494.45     0.0338    86831.9142    9.5226    9.2370    0.0042    0.0018    1.8223    0.1914    0.0331 
1553.01     0.0308    86679.4318    9.5226    9.2454    0.0040    0.0018    1.8223    0.1914    0.0301 
