Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  80.0 m2 
  MAIN WING SWEEP ...............  23.0 deg
  MAIN WING THICKNESS RATIO .....  0.12    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00005 | 0.00016 | 0.00048 | 0.00131 | 0.00336 | 0.00817 | 0.01886 | 0.04162 | 
 0.350 |  0.00000 | 0.00000 | 0.00002 | 0.00006 | 0.00020 | 0.00058 | 0.00159 | 0.00410 | 0.00996 | 0.02301 | 0.05078 | 
 0.400 |  0.00000 | 0.00001 | 0.00002 | 0.00007 | 0.00024 | 0.00070 | 0.00193 | 0.00498 | 0.01209 | 0.02792 | 0.06161 | 
 0.450 |  0.00000 | 0.00001 | 0.00002 | 0.00009 | 0.00029 | 0.00085 | 0.00233 | 0.00600 | 0.01457 | 0.03363 | 0.07422 | 
 0.500 |  0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00034 | 0.00101 | 0.00279 | 0.00716 | 0.01741 | 0.04019 | 0.08870 | 
 0.550 |  0.00000 | 0.00001 | 0.00004 | 0.00013 | 0.00041 | 0.00120 | 0.00330 | 0.00848 | 0.02061 | 0.04759 | 0.10503 | 
 0.600 |  0.00000 | 0.00001 | 0.00004 | 0.00015 | 0.00048 | 0.00141 | 0.00387 | 0.00994 | 0.02416 | 0.05579 | 0.12311 | 
 0.650 |  0.00000 | 0.00001 | 0.00005 | 0.00017 | 0.00055 | 0.00163 | 0.00448 | 0.01153 | 0.02802 | 0.06469 | 0.14276 | 
 0.700 |  0.00000 | 0.00001 | 0.00005 | 0.00020 | 0.00063 | 0.00187 | 0.00514 | 0.01322 | 0.03212 | 0.07416 | 0.16366 | 
 0.750 |  0.00000 | 0.00002 | 0.00006 | 0.00022 | 0.00072 | 0.00212 | 0.00582 | 0.01497 | 0.03638 | 0.08400 | 0.18537 | 
 0.800 |  0.00000 | 0.00002 | 0.00007 | 0.00025 | 0.00080 | 0.00237 | 0.00651 | 0.01675 | 0.04069 | 0.09395 | 0.20734 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.110 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00008 | 0.00021 | 0.00052 | 0.00120 | 0.00264 | 
