Altitude:    0 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
1080.90     0.1044    61544.6007    7.3719    6.9966    0.0090    0.0032    1.6724    0.2269    0.1028 
1177.07     0.0887    60972.7787    7.3719    7.0297    0.0078    0.0032    1.6724    0.2269    0.0873 
1272.40     0.0756    60458.5267    7.3719    7.0560    0.0070    0.0032    1.6724    0.2269    0.0743 
1366.71     0.0643    59992.6113    7.3719    7.0774    0.0062    0.0032    1.6724    0.2269    0.0632 
1389.67     0.0618    59884.8545    7.3719    7.0820    0.0061    0.0032    1.6724    0.2269    0.0607 
1442.98     0.0562    59642.4421    7.3719    7.0920    0.0057    0.0032    1.6724    0.2269    0.0553 
1479.51     0.0527    59482.2540    7.3719    7.0984    0.0055    0.0032    1.6724    0.2269    0.0517 
1192.98     0.0864    60883.5794    7.3719    7.0345    0.0077    0.0032    1.6724    0.2269    0.0850 

Altitude: 6000 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
1239.25     0.0873    52929.0208    7.3719    7.0327    0.0077    0.0032    1.6724    0.2269    0.0858 
1348.16     0.0735    52468.5186    7.3719    7.0600    0.0068    0.0032    1.6724    0.2269    0.0722 
1458.90     0.0615    52042.6972    7.3719    7.0825    0.0061    0.0032    1.6724    0.2269    0.0604 
1571.15     0.0510    51647.5513    7.3719    7.1012    0.0054    0.0032    1.6724    0.2269    0.0501 
1685.28     0.0417    51277.5870    7.3719    7.1170    0.0049    0.0032    1.6724    0.2269    0.0409 
1754.94     0.0366    51065.5437    7.3719    7.1254    0.0046    0.0032    1.6724    0.2269    0.0358 
1663.13     0.0434    51347.1125    7.3719    7.1141    0.0050    0.0032    1.6724    0.2269    0.0426 

