 SFC   MDOT  POWER THROTTLE 
0.5146  1136.95  2243.16  1.0000
0.5121  1124.00  2228.32  1.0000
0.5096  1111.19  2213.65  1.0000

0.5090  1111.05  2215.92  1.0000
0.5047  1090.13  2193.04  1.0000
0.5003  1069.58  2170.56  1.0000

0.4995  1070.88  2176.61  1.0000
0.4950  1041.50  2136.09  1.0000
0.4927  1005.63  2072.04  1.0000

0.4918  1007.77  2080.52  1.0000
0.4892  969.57  2012.18  1.0000
0.4866  933.89  1948.36  1.0000

0.4855  936.47  1958.32  1.0000
0.4843  912.59  1913.13  1.0000
0.4831  889.97  1870.31  1.0000

0.4821  892.20  1878.94  1.0000
0.4808  868.16  1833.32  1.0000
0.4795  845.60  1790.50  1.0000

0.4784  847.89  1799.34  1.0000
0.4770  823.71  1753.27  1.0000
0.4762  802.81  1711.55  1.0000

0.4750  805.35  1721.33  1.0000
0.4741  782.58  1675.84  1.0000
0.4732  761.89  1634.49  1.0000

0.4717  765.03  1646.52  1.0000
0.4701  728.81  1574.04  1.0000
0.4695  700.59  1515.08  1.0000

0.4539  682.68  1526.93  0.9993
0.4544  681.03  1521.65  0.9958
0.4557  676.30  1506.65  0.9860
0.4577  669.17  1484.28  0.9713
0.4601  660.63  1457.83  0.9540
0.4625  651.79  1430.85  0.9364
0.4646  643.72  1406.53  0.9205
0.4663  637.30  1387.44  0.9080
0.4674  633.20  1375.32  0.9000
0.4677  631.65  1371.17  0.8973

0.5110  103.50  205.63  0.1319
0.5111  104.74  208.07  0.1331
0.5113  108.36  215.17  0.1367
0.5116  114.00  226.24  0.1422
0.5121  121.17  240.21  0.1491
0.5129  129.10  255.55  0.1564
0.5135  136.74  270.32  0.1634
0.5141  143.11  282.61  0.1691
0.5144  147.33  290.75  0.1728
0.5146  148.81  293.60  0.1741

0.5161  100.26  197.21  0.1177
0.5165  103.70  203.85  0.1210
0.5173  114.02  223.74  0.1305
0.5186  130.47  255.39  0.1451
0.5208  152.25  296.77  0.1641
0.5254  178.57  345.04  0.1885
0.5296  204.88  392.75  0.2120
0.5330  227.48  433.32  0.2317
0.5351  242.78  460.61  0.2448
0.5359  248.20  470.24  0.2494

0.5376  132.35  249.93  0.1326
0.5392  138.07  259.96  0.1379
0.5437  155.03  289.46  0.1535
0.5507  182.49  336.43  0.1784
0.5592  218.65  396.94  0.2105
0.5696  260.71  464.68  0.2465
0.5805  303.90  531.49  0.2819
0.5894  341.56  588.34  0.3120
0.5952  367.36  626.61  0.3323
0.5972  376.56  640.13  0.3395

