Altitude:    0 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
1245.82     0.0724    55897.4178    7.0531    6.7581    0.0071    0.0032    1.6724    0.2371    0.0713 
1362.65     0.0582    55371.6697    7.0531    6.7830    0.0062    0.0032    1.6724    0.2371    0.0573 
1478.69     0.0462    54899.1380    7.0531    6.8028    0.0055    0.0032    1.6724    0.2371    0.0455 
1593.69     0.0360    54471.2600    7.0531    6.8188    0.0049    0.0032    1.6724    0.2371    0.0354 
1621.72     0.0337    54372.3333    7.0531    6.8223    0.0048    0.0032    1.6724    0.2371    0.0331 
1686.86     0.0287    54149.8308    7.0531    6.8298    0.0046    0.0032    1.6724    0.2371    0.0282 
1731.52     0.0254    54002.8340    7.0531    6.8345    0.0044    0.0032    1.6724    0.2371    0.0250 
1382.01     0.0561    55289.6876    7.0531    6.7866    0.0061    0.0032    1.6724    0.2371    0.0552 

Altitude: 5333 ft 
TOFL      CLIMB GRADIENT     THRUST    L/D     L/Dv2    CDasym    CDwindm     CL     CD  CG_CORRECT
1406.21     0.0584    48461.4694    7.0531    6.7827    0.0063    0.0032    1.6724    0.2371    0.0574 
1535.49     0.0457    48021.5543    7.0531    6.8036    0.0055    0.0032    1.6724    0.2371    0.0449 
1667.22     0.0347    47615.0086    7.0531    6.8208    0.0049    0.0032    1.6724    0.2371    0.0341 
1801.02     0.0250    47237.9595    7.0531    6.8350    0.0044    0.0032    1.6724    0.2371    0.0246 
1937.35     0.0165    46885.1248    7.0531    6.8470    0.0039    0.0032    1.6724    0.2371    0.0161 
2020.68     0.0117    46682.9815    7.0531    6.8534    0.0037    0.0032    1.6724    0.2371    0.0115 
1813.89     0.0242    47203.3851    7.0531    6.8362    0.0043    0.0032    1.6724    0.2371    0.0237 

