Output file with engine data 

  VEHICLE TAG : ATR72


 DELTA ISA:   0 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |       100       122       144       167       189       211       233       256       278       300 |      100    122    144    167    189    211    233    256    278    300 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   11878.9   11073.8   10216.7    9306.2    8339.7    7312.2    6216.3    5041.4    3772.7    2391.1 |    0.092  0.098  0.106  0.117  0.130  0.148  0.173  0.213  0.283  0.445 |
   5000 |   10253.4    9561.5    8824.7    8041.9    7210.5    6326.0    5381.5    4367.4    3269.9    2071.2 |    0.106  0.114  0.123  0.135  0.150  0.171  0.200  0.245  0.326  0.513 |
  10000 |    8806.0    8214.4    7584.4    6914.8    6203.4    5446.0    4636.2    3765.2    2820.5    1785.2 |    0.124  0.133  0.143  0.157  0.174  0.198  0.232  0.285  0.378  0.595 |
  15000 |    7522.6    7019.5    6483.8    5914.3    5308.9    4663.8    3973.4    3229.5    2420.4    1530.4 |    0.145  0.155  0.168  0.183  0.204  0.231  0.271  0.332  0.441  0.694 |
  20000 |    6389.8    5964.4    5511.4    5029.9    4517.8    3971.8    3386.6    2754.9    2065.8    1304.6 |    0.171  0.183  0.197  0.216  0.240  0.272  0.318  0.389  0.517  0.815 |
  25000 |    5394.6    5037.1    4656.6    4251.9    3821.6    3362.3    2869.5    2336.4    1753.1    1105.6 |    0.202  0.216  0.234  0.255  0.283  0.321  0.375  0.459  0.609  0.961 |
  30000 |    4525.1    4226.5    3908.8    3571.1    3211.9    2828.3    2416.2    1969.4    1478.9     931.4 |    0.241  0.258  0.278  0.304  0.337  0.382  0.445  0.544  0.722  1.141 |
  35000 |    3769.6    3521.9    3258.5    2978.7    2681.0    2363.0    2021.0    1649.6    1240.3     780.6 |    0.290  0.309  0.334  0.364  0.404  0.457  0.532  0.650  0.861  1.362 |
  40000 |    3018.8    2818.4    2605.6    2379.6    2139.5    1883.2    1607.8    1308.8     979.3     609.1 |    0.362  0.387  0.417  0.456  0.506  0.573  0.669  0.819  1.090  1.745 |
  45000 |    2396.4    2234.5    2062.8    1880.8    1687.6    1481.7    1260.7    1021.2     757.6     462.0 |    0.456  0.488  0.527  0.577  0.641  0.728  0.853  1.050  1.409  2.301 |
  50000 |    1906.6    1775.1    1635.8    1488.4    1332.1    1165.8     987.7     794.9     583.1     346.2 |    0.573  0.614  0.665  0.729  0.812  0.926  1.089  1.348  1.830  3.070 |

 DELTA ISA:  10 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |       100       122       144       167       189       211       233       256       278       300 |      100    122    144    167    189    211    233    256    278    300 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |   11873.5   11064.1   10202.5    9287.9    8317.5    7286.8    6188.7    5013.2    3746.8    2371.4 |    0.093  0.099  0.108  0.118  0.131  0.149  0.175  0.216  0.288  0.453 |
   5000 |   10248.2    9552.2    8811.4    8024.6    7189.5    6301.9    5355.2    4340.5    3245.1    2052.3 |    0.108  0.115  0.125  0.136  0.152  0.173  0.203  0.249  0.332  0.523 |
  10000 |    8801.1    8205.7    7571.8    6898.5    6183.6    5423.1    4611.2    3739.5    2796.6    1766.8 |    0.125  0.134  0.145  0.159  0.177  0.201  0.235  0.289  0.385  0.608 |
  15000 |    7517.9    7011.3    6471.9    5898.9    5290.1    4642.1    3949.6    3204.8    2397.2    1512.5 |    0.147  0.157  0.170  0.186  0.206  0.234  0.275  0.338  0.450  0.710 |
  20000 |    6385.3    5956.6    5500.3    5015.4    4500.1    3951.2    3363.8    2731.1    2043.3    1287.0 |    0.173  0.185  0.200  0.218  0.243  0.276  0.323  0.396  0.527  0.834 |
  25000 |    5390.3    5029.8    4646.1    4238.3    3804.8    3342.6    2847.6    2313.3    1730.9    1087.9 |    0.204  0.219  0.236  0.258  0.287  0.326  0.381  0.468  0.623  0.987 |
  30000 |    4521.0    4219.6    3898.9    3558.2    3195.9    2809.5    2395.0    1946.9    1456.8     913.3 |    0.244  0.261  0.281  0.308  0.342  0.387  0.453  0.556  0.740  1.176 |
  35000 |    3765.7    3515.4    3249.2    2966.4    2665.7    2344.9    2000.4    1627.2    1217.7     761.1 |    0.293  0.313  0.338  0.369  0.410  0.464  0.543  0.665  0.885  1.411 |
  40000 |    3015.4    2813.0    2597.9    2369.6    2127.1    1868.5    1591.0    1290.5     960.8     593.1 |    0.366  0.391  0.422  0.462  0.513  0.583  0.682  0.838  1.122  1.810 |
  45000 |    2393.5    2230.1    2056.8    1873.1    1678.1    1470.5    1247.9    1007.3     743.7     450.1 |    0.460  0.493  0.534  0.584  0.651  0.740  0.870  1.074  1.449  2.386 |
  50000 |    1904.2    1771.5    1631.1    1482.4    1324.8    1157.3     978.0     784.5     572.8     337.6 |    0.579  0.621  0.673  0.738  0.824  0.941  1.110  1.379  1.882  3.181 |


--------------------------------------------------
 Sunday, 26. August 2018 06:31:18 PM
