 SFC   MDOT  POWER THROTTLE 
0.5146  1137.02  2243.16  1.0000
0.5121  1124.06  2228.26  1.0000
0.5097  1111.20  2213.49  1.0000

0.5091  1111.06  2215.78  1.0000
0.5047  1090.16  2192.85  1.0000
0.5003  1069.50  2170.18  1.0000

0.4995  1070.81  2176.26  1.0000
0.4951  1041.65  2136.13  1.0000
0.4928  1005.53  2071.65  1.0000

0.4918  1007.68  2080.17  1.0000
0.4892  969.83  2012.47  1.0000
0.4867  933.82  1948.07  1.0000

0.4855  936.38  1957.98  1.0000
0.4843  912.70  1913.17  1.0000
0.4831  889.89  1870.01  1.0000

0.4821  892.13  1878.67  1.0000
0.4808  868.34  1833.54  1.0000
0.4795  845.54  1790.28  1.0000

0.4784  847.84  1799.15  1.0000
0.4770  823.97  1753.70  1.0000
0.4762  802.76  1711.39  1.0000

0.4750  805.31  1721.19  1.0000
0.4741  782.99  1676.59  1.0000
0.4732  761.86  1634.37  1.0000

0.4717  765.01  1646.43  1.0000
0.4702  730.65  1577.68  1.0000
0.4695  700.57  1515.02  1.0000

0.4700  617.99  1334.86  0.8736
0.4703  616.27  1330.32  0.8706
0.4711  611.40  1317.48  0.8622
0.4724  604.14  1298.47  0.8497
0.4739  595.78  1276.21  0.8352
0.4759  587.65  1253.72  0.8205
0.4776  580.33  1233.67  0.8073
0.4789  574.59  1218.06  0.7971
0.4797  570.95  1208.23  0.7907
0.4800  569.71  1204.87  0.7885

0.5110  193.92  385.27  0.2471
0.5111  195.42  388.19  0.2483
0.5113  199.76  396.66  0.2520
0.5116  206.51  409.81  0.2576
0.5121  215.04  426.29  0.2645
0.5129  224.43  444.26  0.2719
0.5135  233.42  461.44  0.2789
0.5141  240.87  475.67  0.2845
0.5144  245.79  485.07  0.2882
0.5146  247.51  488.35  0.2895

0.5161  196.43  386.38  0.2307
0.5165  200.58  394.29  0.2339
0.5173  212.72  417.44  0.2434
0.5186  231.94  454.02  0.2579
0.5208  257.13  501.20  0.2772
0.5254  287.43  555.40  0.3033
0.5296  317.39  608.41  0.3284
0.5330  342.87  653.13  0.3493
0.5351  360.03  683.05  0.3630
0.5359  366.08  693.58  0.3679

0.5376  245.57  463.74  0.2460
0.5392  252.25  474.96  0.2519
0.5437  271.94  507.74  0.2693
0.5507  303.56  559.61  0.2968
0.5592  344.74  625.84  0.3319
0.5696  392.35  699.32  0.3709
0.5805  440.98  771.22  0.4090
0.5894  483.03  832.02  0.4413
0.5952  511.67  872.77  0.4629
0.5972  521.85  887.12  0.4705

