Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  61.0 m2 
  MAIN WING SWEEP ...............   2.8 deg
  MAIN WING THICKNESS RATIO .....  0.15    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00007 | 0.00026 | 0.00083 | 0.00246 | 0.00676 | 0.01740 | 0.04227 | 0.09760 | 0.21539 | 
 0.350 |  0.00000 | 0.00002 | 0.00008 | 0.00030 | 0.00098 | 0.00290 | 0.00797 | 0.02050 | 0.04979 | 0.11497 | 0.25372 | 
 0.400 |  0.00001 | 0.00002 | 0.00010 | 0.00036 | 0.00115 | 0.00341 | 0.00936 | 0.02408 | 0.05850 | 0.13509 | 0.29814 | 
 0.450 |  0.00001 | 0.00003 | 0.00012 | 0.00042 | 0.00135 | 0.00399 | 0.01096 | 0.02820 | 0.06850 | 0.15816 | 0.34905 | 
 0.500 |  0.00001 | 0.00003 | 0.00014 | 0.00049 | 0.00157 | 0.00465 | 0.01277 | 0.03286 | 0.07982 | 0.18432 | 0.40678 | 
 0.550 |  0.00001 | 0.00004 | 0.00016 | 0.00056 | 0.00182 | 0.00539 | 0.01480 | 0.03808 | 0.09252 | 0.21364 | 0.47148 | 
 0.600 |  0.00001 | 0.00005 | 0.00018 | 0.00065 | 0.00210 | 0.00621 | 0.01705 | 0.04387 | 0.10657 | 0.24609 | 0.54309 | 
 0.650 |  0.00001 | 0.00005 | 0.00021 | 0.00074 | 0.00240 | 0.00710 | 0.01951 | 0.05019 | 0.12192 | 0.28153 | 0.62131 | 
 0.700 |  0.00001 | 0.00006 | 0.00024 | 0.00084 | 0.00273 | 0.00807 | 0.02215 | 0.05699 | 0.13845 | 0.31970 | 0.70555 | 
 0.750 |  0.00001 | 0.00007 | 0.00027 | 0.00095 | 0.00307 | 0.00909 | 0.02496 | 0.06421 | 0.15598 | 0.36018 | 0.79490 | 
 0.800 |  0.00002 | 0.00007 | 0.00030 | 0.00106 | 0.00343 | 0.01016 | 0.02789 | 0.07174 | 0.17428 | 0.40243 | 0.88812 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.550 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.600 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.650 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.700 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.750 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.800 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.150 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00006 | 0.00022 | 0.00071 | 0.00211 | 0.00579 | 0.01491 | 0.03621 | 0.08362 | 0.18454 | 
 0.350 |  0.00000 | 0.00002 | 0.00007 | 0.00027 | 0.00086 | 0.00255 | 0.00700 | 0.01800 | 0.04374 | 0.10099 | 0.22288 | 
 0.400 |  0.00000 | 0.00002 | 0.00009 | 0.00032 | 0.00103 | 0.00306 | 0.00839 | 0.02159 | 0.05245 | 0.12112 | 0.26729 | 
 0.450 |  0.00001 | 0.00003 | 0.00011 | 0.00038 | 0.00123 | 0.00364 | 0.00999 | 0.02570 | 0.06244 | 0.14419 | 0.31821 | 
 0.500 |  0.00001 | 0.00003 | 0.00013 | 0.00045 | 0.00145 | 0.00430 | 0.01180 | 0.03037 | 0.07377 | 0.17035 | 0.37594 | 
 0.550 |  0.00001 | 0.00004 | 0.00015 | 0.00053 | 0.00170 | 0.00504 | 0.01384 | 0.03559 | 0.08647 | 0.19966 | 0.44064 | 
 0.600 |  0.00001 | 0.00004 | 0.00017 | 0.00061 | 0.00198 | 0.00586 | 0.01608 | 0.04138 | 0.10052 | 0.23211 | 0.51225 | 
 0.650 |  0.00001 | 0.00005 | 0.00020 | 0.00071 | 0.00228 | 0.00675 | 0.01854 | 0.04770 | 0.11587 | 0.26755 | 0.59047 | 
 0.700 |  0.00001 | 0.00006 | 0.00023 | 0.00081 | 0.00261 | 0.00772 | 0.02119 | 0.05450 | 0.13240 | 0.30572 | 0.67471 | 
 0.750 |  0.00001 | 0.00006 | 0.00026 | 0.00091 | 0.00295 | 0.00874 | 0.02399 | 0.06172 | 0.14993 | 0.34621 | 0.76406 | 
 0.800 |  0.00002 | 0.00007 | 0.00029 | 0.00103 | 0.00331 | 0.00980 | 0.02692 | 0.06925 | 0.16823 | 0.38845 | 0.85728 | 
-----------------------------------------------------------------------------------------------------------------------
 VERTICAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
