Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  63.1 m2 
  MAIN WING SWEEP ...............   3.0 deg
  MAIN WING THICKNESS RATIO .....  0.15    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00007 | 0.00027 | 0.00086 | 0.00255 | 0.00700 | 0.01801 | 0.04375 | 0.10102 | 0.22294 | 
 0.350 |  0.00000 | 0.00002 | 0.00009 | 0.00031 | 0.00102 | 0.00300 | 0.00825 | 0.02122 | 0.05156 | 0.11905 | 0.26273 | 
 0.400 |  0.00001 | 0.00003 | 0.00010 | 0.00037 | 0.00119 | 0.00353 | 0.00970 | 0.02494 | 0.06059 | 0.13991 | 0.30878 | 
 0.450 |  0.00001 | 0.00003 | 0.00012 | 0.00043 | 0.00140 | 0.00413 | 0.01135 | 0.02920 | 0.07094 | 0.16381 | 0.36152 | 
 0.500 |  0.00001 | 0.00003 | 0.00014 | 0.00050 | 0.00163 | 0.00482 | 0.01323 | 0.03403 | 0.08266 | 0.19088 | 0.42126 | 
 0.550 |  0.00001 | 0.00004 | 0.00016 | 0.00058 | 0.00189 | 0.00558 | 0.01533 | 0.03943 | 0.09579 | 0.22118 | 0.48813 | 
 0.600 |  0.00001 | 0.00005 | 0.00019 | 0.00067 | 0.00217 | 0.00643 | 0.01765 | 0.04540 | 0.11029 | 0.25468 | 0.56205 | 
 0.650 |  0.00001 | 0.00005 | 0.00022 | 0.00077 | 0.00248 | 0.00735 | 0.02018 | 0.05191 | 0.12612 | 0.29121 | 0.64269 | 
 0.700 |  0.00001 | 0.00006 | 0.00024 | 0.00087 | 0.00282 | 0.00834 | 0.02290 | 0.05892 | 0.14313 | 0.33050 | 0.72940 | 
 0.750 |  0.00001 | 0.00007 | 0.00027 | 0.00098 | 0.00317 | 0.00939 | 0.02579 | 0.06634 | 0.16115 | 0.37211 | 0.82122 | 
 0.800 |  0.00002 | 0.00008 | 0.00031 | 0.00110 | 0.00354 | 0.01048 | 0.02879 | 0.07406 | 0.17991 | 0.41544 | 0.91684 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.550 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.600 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.650 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.700 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.750 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.800 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.152 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00006 | 0.00023 | 0.00074 | 0.00220 | 0.00603 | 0.01552 | 0.03770 | 0.08704 | 0.19210 | 
 0.350 |  0.00000 | 0.00002 | 0.00008 | 0.00028 | 0.00090 | 0.00265 | 0.00728 | 0.01873 | 0.04550 | 0.10507 | 0.23188 | 
 0.400 |  0.00000 | 0.00002 | 0.00009 | 0.00033 | 0.00107 | 0.00318 | 0.00873 | 0.02245 | 0.05454 | 0.12594 | 0.27793 | 
 0.450 |  0.00001 | 0.00003 | 0.00011 | 0.00040 | 0.00128 | 0.00378 | 0.01038 | 0.02671 | 0.06489 | 0.14984 | 0.33068 | 
