Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  63.1 m2 
  MAIN WING SWEEP ...............   0.0 deg
  MAIN WING THICKNESS RATIO .....  0.15    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00008 | 0.00027 | 0.00088 | 0.00259 | 0.00712 | 0.01831 | 0.04449 | 0.10273 | 0.22673 | 
 0.350 |  0.00000 | 0.00002 | 0.00009 | 0.00032 | 0.00103 | 0.00306 | 0.00839 | 0.02158 | 0.05244 | 0.12108 | 0.26721 | 
 0.400 |  0.00001 | 0.00003 | 0.00011 | 0.00038 | 0.00121 | 0.00359 | 0.00986 | 0.02537 | 0.06163 | 0.14231 | 0.31406 | 
 0.450 |  0.00001 | 0.00003 | 0.00012 | 0.00044 | 0.00142 | 0.00420 | 0.01155 | 0.02970 | 0.07216 | 0.16662 | 0.36771 | 
 0.500 |  0.00001 | 0.00004 | 0.00014 | 0.00051 | 0.00166 | 0.00490 | 0.01345 | 0.03461 | 0.08408 | 0.19415 | 0.42848 | 
 0.550 |  0.00001 | 0.00004 | 0.00017 | 0.00059 | 0.00192 | 0.00568 | 0.01559 | 0.04011 | 0.09743 | 0.22498 | 0.49650 | 
 0.600 |  0.00001 | 0.00005 | 0.00019 | 0.00068 | 0.00221 | 0.00654 | 0.01795 | 0.04618 | 0.11219 | 0.25906 | 0.57171 | 
 0.650 |  0.00001 | 0.00005 | 0.00022 | 0.00078 | 0.00253 | 0.00748 | 0.02053 | 0.05281 | 0.12829 | 0.29624 | 0.65377 | 
 0.700 |  0.00001 | 0.00006 | 0.00025 | 0.00089 | 0.00287 | 0.00849 | 0.02330 | 0.05994 | 0.14561 | 0.33623 | 0.74204 | 
 0.750 |  0.00001 | 0.00007 | 0.00028 | 0.00100 | 0.00323 | 0.00955 | 0.02624 | 0.06749 | 0.16396 | 0.37861 | 0.83556 | 
 0.800 |  0.00002 | 0.00008 | 0.00031 | 0.00112 | 0.00360 | 0.01067 | 0.02930 | 0.07537 | 0.18309 | 0.42277 | 0.93301 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.550 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.600 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.650 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.700 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.750 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.800 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.152 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00007 | 0.00023 | 0.00076 | 0.00224 | 0.00615 | 0.01582 | 0.03844 | 0.08876 | 0.19588 | 
 0.350 |  0.00000 | 0.00002 | 0.00008 | 0.00028 | 0.00091 | 0.00270 | 0.00742 | 0.01909 | 0.04638 | 0.10710 | 0.23637 | 
 0.400 |  0.00001 | 0.00002 | 0.00009 | 0.00034 | 0.00109 | 0.00324 | 0.00889 | 0.02288 | 0.05558 | 0.12833 | 0.28322 | 
 0.450 |  0.00001 | 0.00003 | 0.00011 | 0.00040 | 0.00130 | 0.00385 | 0.01058 | 0.02721 | 0.06610 | 0.15264 | 0.33687 | 
 0.500 |  0.00001 | 0.00003 | 0.00013 | 0.00048 | 0.00154 | 0.00455 | 0.01249 | 0.03212 | 0.07803 | 0.18018 | 0.39764 | 
