Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  61.1 m2 
  MAIN WING SWEEP ...............   3.0 deg
  MAIN WING THICKNESS RATIO .....  0.16    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00008 | 0.00029 | 0.00093 | 0.00274 | 0.00753 | 0.01938 | 0.04708 | 0.10871 | 0.23991 | 
 0.350 |  0.00001 | 0.00002 | 0.00009 | 0.00034 | 0.00109 | 0.00324 | 0.00888 | 0.02285 | 0.05552 | 0.12820 | 0.28293 | 
 0.400 |  0.00001 | 0.00003 | 0.00011 | 0.00040 | 0.00129 | 0.00380 | 0.01044 | 0.02687 | 0.06527 | 0.15072 | 0.33263 | 
 0.450 |  0.00001 | 0.00003 | 0.00013 | 0.00047 | 0.00150 | 0.00445 | 0.01223 | 0.03146 | 0.07642 | 0.17646 | 0.38944 | 
 0.500 |  0.00001 | 0.00004 | 0.00015 | 0.00054 | 0.00175 | 0.00519 | 0.01424 | 0.03664 | 0.08902 | 0.20555 | 0.45364 | 
 0.550 |  0.00001 | 0.00004 | 0.00018 | 0.00063 | 0.00203 | 0.00601 | 0.01650 | 0.04244 | 0.10309 | 0.23804 | 0.52534 | 
 0.600 |  0.00001 | 0.00005 | 0.00020 | 0.00072 | 0.00234 | 0.00691 | 0.01898 | 0.04882 | 0.11860 | 0.27386 | 0.60440 | 
 0.650 |  0.00001 | 0.00006 | 0.00023 | 0.00083 | 0.00267 | 0.00789 | 0.02168 | 0.05577 | 0.13548 | 0.31283 | 0.69039 | 
 0.700 |  0.00001 | 0.00006 | 0.00026 | 0.00094 | 0.00302 | 0.00895 | 0.02457 | 0.06321 | 0.15357 | 0.35460 | 0.78257 | 
 0.750 |  0.00002 | 0.00007 | 0.00029 | 0.00105 | 0.00340 | 0.01006 | 0.02763 | 0.07107 | 0.17266 | 0.39868 | 0.87985 | 
 0.800 |  0.00002 | 0.00008 | 0.00033 | 0.00117 | 0.00379 | 0.01122 | 0.03080 | 0.07923 | 0.19246 | 0.44442 | 0.98079 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.550 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
