Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  61.2 m2 
  MAIN WING SWEEP ...............   3.0 deg
  MAIN WING THICKNESS RATIO .....  0.15    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00007 | 0.00025 | 0.00082 | 0.00243 | 0.00667 | 0.01717 | 0.04171 | 0.09630 | 0.21253 | 
 0.350 |  0.00000 | 0.00002 | 0.00008 | 0.00030 | 0.00097 | 0.00286 | 0.00786 | 0.02022 | 0.04912 | 0.11343 | 0.25032 | 
 0.400 |  0.00001 | 0.00002 | 0.00010 | 0.00035 | 0.00114 | 0.00336 | 0.00924 | 0.02376 | 0.05771 | 0.13327 | 0.29412 | 
 0.450 |  0.00001 | 0.00003 | 0.00012 | 0.00041 | 0.00133 | 0.00394 | 0.01081 | 0.02781 | 0.06757 | 0.15603 | 0.34434 | 
 0.500 |  0.00001 | 0.00003 | 0.00013 | 0.00048 | 0.00155 | 0.00459 | 0.01260 | 0.03242 | 0.07875 | 0.18184 | 0.40130 | 
 0.550 |  0.00001 | 0.00004 | 0.00016 | 0.00056 | 0.00180 | 0.00532 | 0.01461 | 0.03757 | 0.09128 | 0.21078 | 0.46516 | 
 0.600 |  0.00001 | 0.00004 | 0.00018 | 0.00064 | 0.00207 | 0.00613 | 0.01683 | 0.04329 | 0.10516 | 0.24282 | 0.53588 | 
 0.650 |  0.00001 | 0.00005 | 0.00021 | 0.00073 | 0.00237 | 0.00701 | 0.01925 | 0.04953 | 0.12032 | 0.27783 | 0.61315 | 
 0.700 |  0.00001 | 0.00006 | 0.00023 | 0.00083 | 0.00269 | 0.00796 | 0.02187 | 0.05625 | 0.13666 | 0.31556 | 0.69641 | 
 0.750 |  0.00001 | 0.00007 | 0.00026 | 0.00094 | 0.00303 | 0.00897 | 0.02464 | 0.06339 | 0.15399 | 0.35559 | 0.78476 | 
 0.800 |  0.00002 | 0.00007 | 0.00029 | 0.00105 | 0.00339 | 0.01003 | 0.02754 | 0.07084 | 0.17209 | 0.39738 | 0.87699 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.550 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.600 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.650 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.700 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.750 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.800 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.149 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00006 | 0.00022 | 0.00070 | 0.00208 | 0.00570 | 0.01468 | 0.03565 | 0.08233 | 0.18169 | 
 0.350 |  0.00000 | 0.00002 | 0.00007 | 0.00026 | 0.00085 | 0.00251 | 0.00689 | 0.01773 | 0.04307 | 0.09945 | 0.21948 | 
 0.400 |  0.00000 | 0.00002 | 0.00009 | 0.00032 | 0.00102 | 0.00301 | 0.00827 | 0.02127 | 0.05166 | 0.11929 | 0.26327 | 
 0.450 |  0.00001 | 0.00003 | 0.00010 | 0.00038 | 0.00121 | 0.00358 | 0.00984 | 0.02532 | 0.06152 | 0.14205 | 0.31349 | 
 0.500 |  0.00001 | 0.00003 | 0.00012 | 0.00044 | 0.00143 | 0.00424 | 0.01163 | 0.02992 | 0.07270 | 0.16786 | 0.37046 | 
 0.550 |  0.00001 | 0.00004 | 0.00015 | 0.00052 | 0.00168 | 0.00497 | 0.01364 | 0.03508 | 0.08523 | 0.19680 | 0.43432 | 
 0.600 |  0.00001 | 0.00004 | 0.00017 | 0.00060 | 0.00195 | 0.00577 | 0.01586 | 0.04080 | 0.09910 | 0.22884 | 0.50504 | 
 0.650 |  0.00001 | 0.00005 | 0.00019 | 0.00070 | 0.00225 | 0.00666 | 0.01828 | 0.04704 | 0.11427 | 0.26386 | 0.58231 | 
 0.700 |  0.00001 | 0.00006 | 0.00022 | 0.00080 | 0.00257 | 0.00761 | 0.02090 | 0.05376 | 0.13061 | 0.30158 | 0.66556 | 
 0.750 |  0.00001 | 0.00006 | 0.00025 | 0.00090 | 0.00291 | 0.00862 | 0.02367 | 0.06090 | 0.14794 | 0.34161 | 0.75392 | 
 0.800 |  0.00002 | 0.00007 | 0.00028 | 0.00101 | 0.00327 | 0.00968 | 0.02657 | 0.06835 | 0.16604 | 0.38341 | 0.84615 | 
-----------------------------------------------------------------------------------------------------------------------
 VERTICAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
