Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  61.1 m2 
  MAIN WING SWEEP ...............   3.0 deg
  MAIN WING THICKNESS RATIO .....  0.15    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00007 | 0.00026 | 0.00083 | 0.00247 | 0.00677 | 0.01742 | 0.04232 | 0.09771 | 0.21564 | 
 0.350 |  0.00000 | 0.00002 | 0.00009 | 0.00030 | 0.00098 | 0.00290 | 0.00798 | 0.02052 | 0.04985 | 0.11511 | 0.25404 | 
 0.400 |  0.00001 | 0.00002 | 0.00010 | 0.00036 | 0.00115 | 0.00341 | 0.00937 | 0.02411 | 0.05858 | 0.13526 | 0.29850 | 
 0.450 |  0.00001 | 0.00003 | 0.00012 | 0.00042 | 0.00135 | 0.00400 | 0.01097 | 0.02823 | 0.06858 | 0.15836 | 0.34948 | 
 0.500 |  0.00001 | 0.00003 | 0.00014 | 0.00049 | 0.00157 | 0.00466 | 0.01279 | 0.03290 | 0.07992 | 0.18455 | 0.40728 | 
 0.550 |  0.00001 | 0.00004 | 0.00016 | 0.00056 | 0.00182 | 0.00540 | 0.01482 | 0.03813 | 0.09263 | 0.21389 | 0.47205 | 
 0.600 |  0.00001 | 0.00005 | 0.00018 | 0.00065 | 0.00210 | 0.00622 | 0.01707 | 0.04392 | 0.10670 | 0.24637 | 0.54372 | 
 0.650 |  0.00001 | 0.00005 | 0.00021 | 0.00074 | 0.00240 | 0.00711 | 0.01953 | 0.05024 | 0.12206 | 0.28184 | 0.62201 | 
 0.700 |  0.00001 | 0.00006 | 0.00024 | 0.00085 | 0.00273 | 0.00808 | 0.02218 | 0.05705 | 0.13860 | 0.32004 | 0.70630 | 
 0.750 |  0.00001 | 0.00007 | 0.00027 | 0.00095 | 0.00307 | 0.00910 | 0.02498 | 0.06427 | 0.15614 | 0.36055 | 0.79569 | 
 0.800 |  0.00002 | 0.00007 | 0.00030 | 0.00106 | 0.00343 | 0.01016 | 0.02791 | 0.07181 | 0.17444 | 0.40280 | 0.88895 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.550 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.600 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.650 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.700 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
