Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  61.3 m2 
  MAIN WING SWEEP ...............   3.0 deg
  MAIN WING THICKNESS RATIO .....  0.16    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00008 | 0.00030 | 0.00096 | 0.00286 | 0.00784 | 0.02017 | 0.04900 | 0.11316 | 0.24973 | 
 0.350 |  0.00001 | 0.00002 | 0.00010 | 0.00035 | 0.00114 | 0.00337 | 0.00925 | 0.02380 | 0.05781 | 0.13349 | 0.29461 | 
 0.400 |  0.00001 | 0.00003 | 0.00012 | 0.00041 | 0.00134 | 0.00396 | 0.01088 | 0.02798 | 0.06798 | 0.15696 | 0.34640 | 
 0.450 |  0.00001 | 0.00003 | 0.00014 | 0.00049 | 0.00157 | 0.00464 | 0.01273 | 0.03276 | 0.07958 | 0.18376 | 0.40554 | 
 0.500 |  0.00001 | 0.00004 | 0.00016 | 0.00057 | 0.00182 | 0.00540 | 0.01483 | 0.03815 | 0.09268 | 0.21401 | 0.47230 | 
 0.550 |  0.00001 | 0.00005 | 0.00018 | 0.00065 | 0.00211 | 0.00625 | 0.01717 | 0.04417 | 0.10729 | 0.24775 | 0.54676 | 
 0.600 |  0.00001 | 0.00005 | 0.00021 | 0.00075 | 0.00243 | 0.00719 | 0.01974 | 0.05079 | 0.12338 | 0.28489 | 0.62873 | 
 0.650 |  0.00001 | 0.00006 | 0.00024 | 0.00086 | 0.00277 | 0.00821 | 0.02254 | 0.05798 | 0.14085 | 0.32523 | 0.71777 | 
 0.700 |  0.00001 | 0.00007 | 0.00027 | 0.00097 | 0.00314 | 0.00930 | 0.02553 | 0.06568 | 0.15955 | 0.36841 | 0.81305 | 
 0.750 |  0.00002 | 0.00008 | 0.00031 | 0.00109 | 0.00353 | 0.01044 | 0.02868 | 0.07378 | 0.17924 | 0.41389 | 0.91342 | 
 0.800 |  0.00002 | 0.00008 | 0.00034 | 0.00122 | 0.00393 | 0.01163 | 0.03194 | 0.08218 | 0.19964 | 0.46098 | 1.01735 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.550 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.600 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.650 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.700 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.750 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.800 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.159 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00007 | 0.00026 | 0.00085 | 0.00250 | 0.00687 | 0.01768 | 0.04295 | 0.09918 | 0.21888 | 
 0.350 |  0.00000 | 0.00002 | 0.00009 | 0.00032 | 0.00102 | 0.00302 | 0.00828 | 0.02131 | 0.05176 | 0.11952 | 0.26377 | 
