Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  65.4 m2 
  MAIN WING SWEEP ...............   3.0 deg
  MAIN WING THICKNESS RATIO .....  0.17    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00009 | 0.00033 | 0.00108 | 0.00319 | 0.00877 | 0.02256 | 0.05481 | 0.12656 | 0.27932 | 
 0.350 |  0.00001 | 0.00003 | 0.00011 | 0.00039 | 0.00127 | 0.00377 | 0.01035 | 0.02664 | 0.06471 | 0.14942 | 0.32976 | 
 0.400 |  0.00001 | 0.00003 | 0.00013 | 0.00046 | 0.00150 | 0.00443 | 0.01218 | 0.03133 | 0.07610 | 0.17572 | 0.38780 | 
 0.450 |  0.00001 | 0.00004 | 0.00015 | 0.00054 | 0.00175 | 0.00519 | 0.01425 | 0.03666 | 0.08906 | 0.20566 | 0.45387 | 
 0.500 |  0.00001 | 0.00004 | 0.00018 | 0.00063 | 0.00204 | 0.00604 | 0.01659 | 0.04267 | 0.10365 | 0.23934 | 0.52820 | 
 0.550 |  0.00001 | 0.00005 | 0.00020 | 0.00073 | 0.00236 | 0.00698 | 0.01918 | 0.04934 | 0.11986 | 0.27676 | 0.61080 | 
 0.600 |  0.00001 | 0.00006 | 0.00023 | 0.00084 | 0.00271 | 0.00802 | 0.02202 | 0.05666 | 0.13763 | 0.31781 | 0.70138 | 
 0.650 |  0.00001 | 0.00007 | 0.00027 | 0.00096 | 0.00309 | 0.00914 | 0.02510 | 0.06457 | 0.15686 | 0.36220 | 0.79934 | 
 0.700 |  0.00002 | 0.00007 | 0.00030 | 0.00108 | 0.00349 | 0.01033 | 0.02837 | 0.07300 | 0.17733 | 0.40947 | 0.90367 | 
 0.750 |  0.00002 | 0.00008 | 0.00034 | 0.00121 | 0.00391 | 0.01158 | 0.03181 | 0.08183 | 0.19878 | 0.45901 | 1.01301 | 
 0.800 |  0.00002 | 0.00009 | 0.00038 | 0.00135 | 0.00435 | 0.01287 | 0.03534 | 0.09092 | 0.22087 | 0.51001 | 1.12556 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.550 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.600 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.650 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.700 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
