Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  54.9 m2 
  ASPECT RATIO ....................  13.2    
  WING SWEEP ......................   3.0 deg
  WING THICKNESS RATIO ............  0.17    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.694    
  MEAN AEROD. CHORD ............... 2.104 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00162    |       26.4    |      1.238    |    0.00272    |      0.996    |      0.990    |
 main_wing                            |    0.00855    |      109.8    |      1.487    |    0.00288    |      0.996    |      0.990    |
 turboprop  (EACH)                    |    0.00080    |       13.4    |      1.148    |    0.00285    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00142    |       19.3    |      1.331    |    0.00304    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00032    |        5.4    |      1.148    |    0.00285    |      0.996    |      0.990    |
 fuselage                             |    0.00800    |      200.0    |      1.112    |    0.00197    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00143    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00614    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02909    |      387.7    |               |               |               |               |


-------------------------------------------
 Thursday, 27. September 2018 10:30:03 AM
