Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  54.9 m2 
  MAIN WING SWEEP ...............   3.0 deg
  MAIN WING THICKNESS RATIO .....  0.14    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00001 | 0.00006 | 0.00020 | 0.00065 | 0.00193 | 0.00531 | 0.01365 | 0.03315 | 0.07656 | 0.16895 | 
 0.350 |  0.00000 | 0.00002 | 0.00007 | 0.00024 | 0.00077 | 0.00227 | 0.00623 | 0.01602 | 0.03891 | 0.08984 | 0.19826 | 
 0.400 |  0.00000 | 0.00002 | 0.00008 | 0.00028 | 0.00090 | 0.00266 | 0.00730 | 0.01877 | 0.04561 | 0.10532 | 0.23243 | 
 0.450 |  0.00000 | 0.00002 | 0.00009 | 0.00033 | 0.00105 | 0.00311 | 0.00854 | 0.02196 | 0.05335 | 0.12318 | 0.27185 | 
 0.500 |  0.00001 | 0.00003 | 0.00011 | 0.00038 | 0.00122 | 0.00362 | 0.00995 | 0.02560 | 0.06218 | 0.14358 | 0.31686 | 
 0.550 |  0.00001 | 0.00003 | 0.00012 | 0.00044 | 0.00142 | 0.00420 | 0.01155 | 0.02970 | 0.07216 | 0.16661 | 0.36771 | 
 0.600 |  0.00001 | 0.00004 | 0.00014 | 0.00051 | 0.00164 | 0.00485 | 0.01333 | 0.03429 | 0.08329 | 0.19233 | 0.42445 | 
 0.650 |  0.00001 | 0.00004 | 0.00016 | 0.00058 | 0.00188 | 0.00557 | 0.01529 | 0.03934 | 0.09556 | 0.22067 | 0.48699 | 
 0.700 |  0.00001 | 0.00005 | 0.00019 | 0.00066 | 0.00214 | 0.00635 | 0.01743 | 0.04483 | 0.10891 | 0.25149 | 0.55502 | 
 0.750 |  0.00001 | 0.00005 | 0.00021 | 0.00075 | 0.00243 | 0.00718 | 0.01972 | 0.05072 | 0.12323 | 0.28454 | 0.62796 | 
