Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |  FUEL  |            SPEED              |
                                | From  |   To  |Initial | Final  |         |       |        |Inicial| Final |Inicial| Final |
                                |   ft  |   ft  |   kg   |   kg   |    nm   |  min  |   kg   | KCAS  | KCAS  |  Mach |  Mach |
                                |       |       |        |        |         |       |        |       |       |       |       |
climb_1                         |      0|   1500|   25300|   25278|        3|    1.2|      22|  170.0|  170.1|  0.257|  0.264|
climb_2                         |   1500|   4000|   25278|   25240|        6|    2.1|      38|  170.1|  170.2|  0.264|  0.277|
climb_3                         |   4000|   7000|   25240|   25191|        9|    2.9|      49|  170.2|  170.4|  0.277|  0.293|
climb_4                         |   7000|  10000|   25191|   25136|       11|    3.4|      55|  170.4|  170.6|  0.293|  0.310|
climb_5                         |  10000|  12000|   25136|   25096|        9|    2.7|      41|  170.6|  170.8|  0.310|  0.322|
climb_6                         |  12000|  14000|   25096|   25049|       11|    3.2|      46|  170.8|  171.0|  0.322|  0.335|
climb_7                         |  14000|  16000|   25049|   24995|       14|    4.0|      55|  171.0|  171.2|  0.335|  0.349|
climb_8                         |  16000|  18000|   24995|   24925|       20|    5.3|      69|  171.2|  171.4|  0.349|  0.364|
climb_9                         |  18000|  19000|   24925|   24883|       13|    3.3|      42|  171.4|  171.5|  0.364|  0.371|
climb_10                        |  19000|  21000|   24883|   24798|       25|    6.7|      85|  168.4|  168.7|  0.365|  0.380|
cruise                          |  21000|  21000|   24798|   23934|      331|   76.5|     864|  189.0|  189.0|  0.425|  0.425|
descent_1                       |  21000|  18000|   23934|   23932|        7|    1.5|       2|  211.4|  221.9|  0.474|  0.468|
descent_2                       |  18000|  10000|   23932|   23928|       18|    4.0|       4|  210.2|  238.0|  0.444|  0.431|
descent_3                       |  10000|     -0|   23928|   23920|       22|    5.0|       8|  224.8|  260.0|  0.407|  0.393|
reserve_climb1                  |     -0|   5000|   23920|   23847|       14|    4.5|      73|  180.0|  167.4|  0.272|  0.277|
reserve_climb2                  |   5000|  10000|   23847|   23765|       18|    5.6|      82|  176.7|  163.8|  0.292|  0.298|
reserve_cruise                  |  10000|  10000|   23765|   23668|       34|    8.4|      98|  209.6|  209.6|  0.380|  0.380|
reserve_loiter                  |  10000|  10000|   23668|   23148|      182|   45.0|     520|  209.6|  209.6|  0.380|  0.380|
reserve_descent_1               |  10000|     -0|   23148|   23116|       34|   12.5|      32|  165.1|  132.3|  0.300|  0.200|


 Total Range (nm) ...........       781
 Total Fuel  (kg) ...........      2184
 Total Time  (hh:mm) ........     03:17


-------------------------------------------
 Thursday, 27. September 2018 10:31:36 AM
