Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |  FUEL  |            SPEED              |
                                | From  |   To  |Initial | Final  |         |       |        |Inicial| Final |Inicial| Final |
                                |   ft  |   ft  |   kg   |   kg   |    nm   |  min  |   kg   | KCAS  | KCAS  |  Mach |  Mach |
                                |       |       |        |        |         |       |        |       |       |       |       |
climb_1                         |      0|   1500|   23000|   22981|        3|    1.1|      19|  170.0|  166.4|  0.257|  0.258|
climb_2                         |   1500|   4000|   22981|   22949|        6|    1.9|      32|  173.2|  167.0|  0.269|  0.271|
climb_3                         |   4000|   7000|   22949|   22910|        8|    2.5|      40|  173.6|  166.0|  0.282|  0.285|
climb_4                         |   7000|  10000|   22910|   22866|        9|    3.0|      43|  173.3|  165.6|  0.298|  0.301|
climb_5                         |  10000|  12000|   22866|   22834|        8|    2.3|      32|  173.0|  167.7|  0.314|  0.316|
climb_6                         |  12000|  14000|   22834|   22798|        9|    2.7|      36|  173.2|  167.8|  0.327|  0.329|
climb_7                         |  14000|  16000|   22798|   22757|       12|    3.3|      42|  173.6|  168.1|  0.340|  0.343|
climb_8                         |  16000|  20800|   22757|   22610|       49|   13.0|     147|  176.9|  163.6|  0.361|  0.367|
cruise                          |  20800|  20800|   22610|   21812|      337|   77.7|     798|  189.6|  189.6|  0.425|  0.425|
descent_1                       |  20800|  18000|   21812|   21809|        7|    1.4|       3|  212.1|  221.9|  0.474|  0.468|
descent_2                       |  18000|  10000|   21809|   21802|       18|    4.0|       7|  210.2|  238.0|  0.444|  0.431|
descent_3                       |  10000|     -0|   21802|   21789|       22|    5.0|      13|  224.8|  260.0|  0.407|  0.393|
reserve_climb1                  |     -0|   5000|   21789|   21721|       14|    4.5|      68|  180.0|  167.4|  0.272|  0.277|
reserve_climb2                  |   5000|  10000|   21721|   21645|       18|    5.6|      76|  176.7|  163.8|  0.292|  0.298|
reserve_cruise                  |  10000|  10000|   21645|   21551|       34|    8.4|      94|  209.6|  209.6|  0.380|  0.380|
reserve_loiter                  |  10000|  10000|   21551|   21052|      182|   45.0|     499|  209.6|  209.6|  0.380|  0.380|
reserve_descent_1               |  10000|     -0|   21052|   21031|       34|   12.5|      21|  165.1|  132.3|  0.300|  0.200|


 Total Range (nm) ...........       768
 Total Fuel  (kg) ...........      1969
 Total Time  (hh:mm) ........     03:14


-------------------------------------------
 Monday, 24. September 2018 12:45:09 PM
