Output file with compressibility drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ................  64.0 m2 
  MAIN WING SWEEP ...............   3.0 deg
  MAIN WING THICKNESS RATIO .....  0.15    
 
 TOTAL COMPRESSIBILITY DRAG 
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00007 | 0.00026 | 0.00083 | 0.00246 | 0.00675 | 0.01737 | 0.04221 | 0.09746 | 0.21508 | 
 0.350 |  0.00000 | 0.00002 | 0.00008 | 0.00030 | 0.00098 | 0.00290 | 0.00796 | 0.02047 | 0.04972 | 0.11480 | 0.25336 | 
 0.400 |  0.00001 | 0.00002 | 0.00010 | 0.00036 | 0.00115 | 0.00340 | 0.00935 | 0.02405 | 0.05842 | 0.13490 | 0.29771 | 
 0.450 |  0.00001 | 0.00003 | 0.00012 | 0.00042 | 0.00135 | 0.00399 | 0.01094 | 0.02815 | 0.06840 | 0.15793 | 0.34855 | 
 0.500 |  0.00001 | 0.00003 | 0.00014 | 0.00049 | 0.00157 | 0.00464 | 0.01275 | 0.03281 | 0.07971 | 0.18406 | 0.40620 | 
 0.550 |  0.00001 | 0.00004 | 0.00016 | 0.00056 | 0.00182 | 0.00538 | 0.01478 | 0.03803 | 0.09239 | 0.21333 | 0.47080 | 
 0.600 |  0.00001 | 0.00004 | 0.00018 | 0.00065 | 0.00210 | 0.00620 | 0.01703 | 0.04381 | 0.10642 | 0.24573 | 0.54230 | 
 0.650 |  0.00001 | 0.00005 | 0.00021 | 0.00074 | 0.00240 | 0.00709 | 0.01948 | 0.05011 | 0.12174 | 0.28112 | 0.62040 | 
 0.700 |  0.00001 | 0.00006 | 0.00024 | 0.00084 | 0.00272 | 0.00806 | 0.02212 | 0.05691 | 0.13825 | 0.31923 | 0.70451 | 
 0.750 |  0.00001 | 0.00007 | 0.00027 | 0.00095 | 0.00307 | 0.00908 | 0.02492 | 0.06411 | 0.15575 | 0.35965 | 0.79371 | 
 0.800 |  0.00002 | 0.00007 | 0.00030 | 0.00106 | 0.00343 | 0.01014 | 0.02784 | 0.07163 | 0.17402 | 0.40182 | 0.88678 | 
-----------------------------------------------------------------------------------------------------------------------
 HORIZONTAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.350 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.400 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.450 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.500 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.550 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.600 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.650 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.700 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.750 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
 0.800 |  0.00000 | 0.00000 | 0.00001 | 0.00003 | 0.00011 | 0.00031 | 0.00086 | 0.00222 | 0.00540 | 0.01247 | 0.02751 | 
-----------------------------------------------------------------------------------------------------------------------
 MAIN_WING  ( t/c: 0.150 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00002 | 0.00006 | 0.00022 | 0.00071 | 0.00211 | 0.00578 | 0.01488 | 0.03615 | 0.08348 | 0.18424 | 
 0.350 |  0.00000 | 0.00002 | 0.00007 | 0.00027 | 0.00086 | 0.00254 | 0.00699 | 0.01797 | 0.04367 | 0.10083 | 0.22252 | 
 0.400 |  0.00000 | 0.00002 | 0.00009 | 0.00032 | 0.00103 | 0.00305 | 0.00838 | 0.02156 | 0.05237 | 0.12092 | 0.26687 | 
 0.450 |  0.00001 | 0.00003 | 0.00011 | 0.00038 | 0.00123 | 0.00363 | 0.00998 | 0.02566 | 0.06234 | 0.14396 | 0.31771 | 
 0.500 |  0.00001 | 0.00003 | 0.00013 | 0.00045 | 0.00145 | 0.00429 | 0.01179 | 0.03032 | 0.07366 | 0.17008 | 0.37535 | 
 0.550 |  0.00001 | 0.00004 | 0.00015 | 0.00053 | 0.00170 | 0.00503 | 0.01381 | 0.03554 | 0.08633 | 0.19935 | 0.43996 | 
 0.600 |  0.00001 | 0.00004 | 0.00017 | 0.00061 | 0.00198 | 0.00585 | 0.01606 | 0.04131 | 0.10037 | 0.23175 | 0.51146 | 
 0.650 |  0.00001 | 0.00005 | 0.00020 | 0.00071 | 0.00228 | 0.00674 | 0.01851 | 0.04762 | 0.11569 | 0.26714 | 0.58956 | 
 0.700 |  0.00001 | 0.00006 | 0.00023 | 0.00081 | 0.00260 | 0.00770 | 0.02115 | 0.05442 | 0.13220 | 0.30525 | 0.67367 | 
 0.750 |  0.00001 | 0.00006 | 0.00026 | 0.00091 | 0.00295 | 0.00872 | 0.02395 | 0.06162 | 0.14970 | 0.34567 | 0.76287 | 
 0.800 |  0.00002 | 0.00007 | 0.00029 | 0.00102 | 0.00331 | 0.00979 | 0.02688 | 0.06914 | 0.16796 | 0.38784 | 0.85594 | 
-----------------------------------------------------------------------------------------------------------------------
 VERTICAL_STABILIZER  ( t/c: 0.120 )
  CL   |  M=0.450 | M=0.500 | M=0.550 | M=0.600 | M=0.650 | M=0.700 | M=0.750 | M=0.800 | M=0.850 | M=0.900 | M=0.950 | 
 0.300 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.350 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.400 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.450 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.500 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.550 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.600 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.650 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.700 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.750 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
 0.800 |  0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00001 | 0.00004 | 0.00010 | 0.00027 | 0.00065 | 0.00151 | 0.00333 | 
-----------------------------------------------------------------------------------------------------------------------

 Friday, 28. September 2018 02:48:34 PM
