 SFC   MDOT  POWER THROTTLE 
0.5146  1136.95  2243.16  1.0000
0.5121  1124.00  2228.32  1.0000
0.5096  1111.19  2213.65  1.0000

0.5090  1111.05  2215.92  1.0000
0.5047  1090.13  2193.04  1.0000
0.5003  1069.58  2170.56  1.0000

0.4995  1070.88  2176.61  1.0000
0.4950  1041.50  2136.09  1.0000
0.4927  1005.63  2072.04  1.0000

0.4918  1007.77  2080.52  1.0000
0.4892  969.57  2012.18  1.0000
0.4866  933.89  1948.36  1.0000

0.4855  936.47  1958.32  1.0000
0.4843  912.59  1913.13  1.0000
0.4831  889.97  1870.31  1.0000

0.4821  892.20  1878.94  1.0000
0.4808  868.16  1833.32  1.0000
0.4795  845.60  1790.50  1.0000

0.4784  847.89  1799.34  1.0000
0.4770  823.71  1753.27  1.0000
0.4762  802.81  1711.55  1.0000

0.4750  805.35  1721.33  1.0000
0.4741  782.58  1675.84  1.0000
0.4732  761.89  1634.49  1.0000

0.4717  765.03  1646.52  1.0000
0.4701  728.81  1574.04  1.0000
0.4695  700.59  1515.08  1.0000

0.4539  682.68  1526.93  0.9993
0.4540  682.32  1525.76  0.9985
0.4543  681.26  1522.40  0.9963
0.4548  679.66  1517.29  0.9929
0.4553  677.69  1511.06  0.9889
0.4559  675.62  1504.50  0.9846
0.4564  673.68  1498.39  0.9806
0.4569  672.10  1493.45  0.9773
0.4572  671.08  1490.24  0.9752
0.4573  670.72  1489.13  0.9745

0.5110  60.42  120.05  0.0770
0.5111  61.50  122.17  0.0782
0.5113  64.63  128.34  0.0815
0.5116  69.54  138.00  0.0867
0.5121  75.80  150.27  0.0932
0.5129  82.76  163.83  0.1003
0.5135  89.51  176.95  0.1069
0.5141  95.16  187.92  0.1124
0.5144  98.92  195.22  0.1160
0.5146  100.24  197.77  0.1173

0.5161  53.36  104.96  0.0627
0.5165  56.42  110.91  0.0658
0.5173  65.48  128.49  0.0749
0.5186  80.10  156.80  0.0891
0.5208  99.65  194.23  0.1074
0.5254  123.40  238.44  0.1302
0.5296  147.40  282.56  0.1525
0.5330  168.15  320.30  0.1713
0.5351  182.27  345.81  0.1838
0.5359  187.28  354.83  0.1882

0.5376  74.55  140.78  0.0747
0.5392  79.68  150.02  0.0796
0.5437  94.94  177.27  0.0940
0.5507  119.82  220.90  0.1172
0.5592  152.87  277.52  0.1472
0.5696  191.51  341.35  0.1810
0.5805  231.39  404.68  0.2146
0.5894  266.37  458.82  0.2433
0.5952  290.42  495.37  0.2627
0.5972  299.01  508.30  0.2696

