Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |  FUEL  |            SPEED              |
                                | From  |   To  |Initial | Final  |         |       |        |Inicial| Final |Inicial| Final |
                                |   ft  |   ft  |   kg   |   kg   |    nm   |  min  |   kg   | KCAS  | KCAS  |  Mach |  Mach |
                                |       |       |        |        |         |       |        |       |       |       |       |
climb_1                         |      0|   1500|   23220|   23200|        3|    1.2|      20|  170.0|  170.1|  0.257|  0.264|
climb_2                         |   1500|   4000|   23200|   23166|        6|    2.1|      34|  170.1|  170.2|  0.264|  0.277|
climb_3                         |   4000|   7000|   23166|   23122|        9|    2.9|      44|  170.2|  170.4|  0.277|  0.293|
climb_4                         |   7000|  10000|   23122|   23072|       11|    3.4|      49|  170.4|  170.6|  0.293|  0.310|
climb_5                         |  10000|  12000|   23072|   23036|        9|    2.7|      36|  170.6|  170.8|  0.310|  0.322|
climb_6                         |  12000|  14000|   23036|   22995|       11|    3.2|      41|  170.8|  171.0|  0.322|  0.335|
climb_7                         |  14000|  16000|   22995|   22946|       14|    4.0|      49|  171.0|  171.2|  0.335|  0.349|
climb_8                         |  16000|  18000|   22946|   22884|       20|    5.3|      62|  171.2|  171.4|  0.349|  0.364|
climb_9                         |  18000|  19000|   22884|   22846|       13|    3.3|      37|  171.4|  171.5|  0.364|  0.371|
climb_10                        |  19000|  21000|   22846|   22772|       25|    6.7|      74|  168.4|  168.7|  0.365|  0.380|
cruise                          |  21000|  21000|   22772|   21983|      332|   76.5|     789|  189.0|  189.0|  0.425|  0.425|
descent_1                       |  21000|  18000|   21983|   21980|        7|    1.5|       3|  211.4|  221.9|  0.474|  0.468|
descent_2                       |  18000|  10000|   21980|   21973|       18|    4.0|       7|  210.2|  238.0|  0.444|  0.431|
descent_3                       |  10000|     -0|   21973|   21958|       22|    5.0|      14|  224.8|  260.0|  0.407|  0.393|
reserve_climb1                  |     -0|   5000|   21958|   21890|       14|    4.5|      69|  180.0|  167.4|  0.272|  0.277|
reserve_climb2                  |   5000|  10000|   21890|   21813|       18|    5.6|      76|  176.7|  163.8|  0.292|  0.298|
reserve_cruise                  |  10000|  10000|   21813|   21718|       34|    8.4|      95|  209.6|  209.6|  0.380|  0.380|
reserve_loiter                  |  10000|  10000|   21718|   21213|      182|   45.0|     506|  209.6|  209.6|  0.380|  0.380|
reserve_descent_1               |  10000|     -0|   21213|   21193|       34|   12.5|      20|  165.1|  132.3|  0.300|  0.200|


 Total Range (nm) ...........       781
 Total Fuel  (kg) ...........      2027
 Total Time  (hh:mm) ........     03:17


-------------------------------------------
 Friday, 28. September 2018 02:48:34 PM
