Output file with engine data 

  VEHICLE TAG : base


 DELTA ISA:   0 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |         2        50       100       150       200       250       300       350       400       450 |        2     50    100    150    200    250    300    350    400    450 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
   5000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  10000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  15000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  20000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  25000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  30000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  35000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  40000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  45000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  50000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |

 DELTA ISA:  10 degC

        |                                         SPEED [KTAS]                                                |                            SPEED [KTAS]                                 
        |         2        50       100       150       200       250       300       350       400       450 |        2     50    100    150    200    250    300    350    400    450 
 HP[ft] |                                         THRUST [lbf]                                                |                               SFC [adm]                                 |
      0 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
   5000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  10000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  15000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  20000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  25000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  30000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  35000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  40000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  45000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |
  50000 |       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0 |      nan    nan    nan    nan    nan    nan    nan    nan    nan    nan |


--------------------------------------------------
 Thursday, 05. July 2018 09:44:06 PM
